SMILES,P(Act)
CC[C@@H](Oc1ccccc1)C(=O)Nc1nc(-c2ccccc2)n[nH]1,5.853871964
CCCN1C(=O)N2C[C@@H](C(C)C)N=C2c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc21,4.744727495
Cn1cc2c(nc(NC3CCC3)n3nc(-c4ccco4)nc23)n1,7.076238039
CCOC(=O)c1nc(NC(=O)c2ccc(C)cc2)nc2nn(CCc3ccccc3)cc12,5.22184875
CCCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1,7.713030675
Clc1ccc(-c2nc(-c3ccccc3)c3[nH]cnc3n2)cc1,6.501689446
CCNC(=O)[C@H]1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,7.289882635
Nc1nc(-c2ccco2)c2nnn(Cc3cccs3)c2n1,8.638272164
CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2ncc(Cl)s2)cc1,7.552841969
CCNc1nc(-c2ccco2)c2sccc2n1,7.236572006
Cn1c(=O)c2[nH]cnc2n(C)c1=O,4.969293156
CCCn1cnc2ncnc(N)c21,4.744727495
Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(C)n1,7.89466016
CCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1,7.081969663
CCCC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1,5.737786295
OC1CS[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H]1O,6.763009535
Cc1ccc2c(O)c(C(=O)NN3CCN(C)CC3)cnc2n1,5.636576067000001
CC(C)(O)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,5.958607315
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)cc2n(CCC)c1=O,7.5000381339999995
CCN1CCC(Nc2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,7.903089987
Nc1nc(NCCC[NH3+])nc2nc(-c3ccco3)nn12,6.568636236000001
Nc1nc2c(cnn2CCN2CCN(c3ccc(F)c(F)c3)CC2)c2nc(-c3ccco3)nn12,8.853871964
Nc1nc(NC(=O)CCc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.3400837999999995
Oc1nc2ccccc2n2nc(-c3ccco3)nc12,5.32330639
N#Cc1sc(=S)n(CCc2ccccc2)c1/N=C/c1ccc(Br)cc1,10.1739252
