SMILES,P(Act)
CN(C)C(=O)Oc1ccc[n+](C)c1,4.525065849
NC1CCCCC1N,5.90493531
CC(C)OC(=O)Nc1ccc2[nH]c(-c3cscn3)nc2c1,4.896463093
CCn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NC(C)(C)C=C3C,6.166852887999999
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,4.434404216
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,4.830216859
CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,4.415499162
COC(=O)c1ccccc1C(=O)c1ccc(OCCN2CCCCC2)cc1,4.525065849
CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,5.65476354
O1[As]2O[As]3O[As]1O[As](O2)O3,4.796430019
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,5.401564388
N#Cc1ccc(N2[C@H]3CC[C@H]2CC(NCc2ccccc2)C3)cc1C(F)(F)F,6.632644078999999
O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,4.486687381
[O-][Cl+][O-],7.0501222960000005
CCN(CC(F)(F)F)c1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1,7.443697499
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,4.447488133999999
Cc1c(C(O)(c2cscn2)C(F)(F)F)ccc(C#N)c1C(F)(F)F,8.230032199
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C(Cl)=C4CC[C@H]3[C@@H]1CC[C@@]21C=CC(=O)O1,6.853871964
CC=O,5.970738003999999
C[C@](O)(COc1cccc(Cl)c1)C(=O)N1CCc2c(C#N)cccc21,6.718966633
O=[N+]([O-])c1ccc(C2=NO[C@H]3CCC[C@@H]23)cc1C(F)(F)F,5.599999382999999
Cc1cc(Cl)ccc1/N=C/N(C)C,5.6601115029999995
CC(C)[N+]1([O-])C(=O)[C@@]2(C)O[C@@](C)(C1=O)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,5.380211242000001
COC(=O)c1ccc(C=O)cc1,4.800000875
CN1C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CC[C@@H]12,8.22184875
OC1c2[nH]c3ccc(Cl)c(Cl)c3c2C(C(F)(F)F)CC1F,7.15490196
CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,5.9799993979999995
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,4.607531683
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,5.047585369
CCCOC(=O)c1ccc(O)cc1,4.835025893
CC1(C)Nc2ccc(-c3csc(C#N)c3)cc2C(C)(C)C1=O,5.958607315
CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)N21,5.761953897000001
Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)OCCN(C)C)cc12,4.570540039
C[C@](O)(COc1ccccc1C(F)(F)F)C(=O)N1CCc2c(C#N)cccc21,6.839031532999999
O=C(O)c1cc(O)c2ccccc2c1O,4.606431816000001
C[C@@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2C,4.9992926760000005
CCOP(=S)(OCC)SCSC(C)(C)C,8.853871964
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.592073145
Nc1ccc(N)c([N+](=O)[O-])c1,4.649974033
CC(=O)CCc1ccc(O)cc1,3.770102267
COc1cccc(O)c1O,4.388889099999999
CCOC(=O)Cn1c(SCCOc2ccc(C)c(C)c2)nc2ccccc21,4.394694953999999
Cc1ccccc1C(=O)O,5.369524664
COc1ccccc1/C=C/C=O,4.204502678
CCOc1ccc2[nH]cc(C(=O)NCc3ccccc3)c(=O)c2n1,4.369682493
Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1C(N)=O,5.9645702620000005
O=C(CC(Nc1ccc([N+](=O)[O-])cc1)c1cccc(F)c1)c1cccc(Cl)c1,6.958607315
Cc1ccc([C@@H]2COc3cc4[nH]c(=O)cc(C(F)(F)F)c4cc3N2CC(F)(F)F)cc1,7.443697499
