SMILES,P(Act)
O=C(NCC1CCN(CC2CC2)CC1)[C@H]1CCCN1C(=O)[C@@H]1C[C@@H](O)CN1C(=O)CC(c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1,9.769551079
C[N+]1(C)[C@H]2CC[C@@H]1C[C@H](CC(O)(c1cccc(F)c1)c1cccc(F)c1)C2,7.9788107010000004
C[N+](C)(C)C[C@@H]1C[S+]([O-])[C@@](c2ccccc2)(C2CCCCC2)O1,7.460046158
CC(C)=CCC[N+]12CCC(CC1)[C@@H](OC(=O)[C@](C)(c1ccccc1)N1CCCCC1)C2,9.199970641
CN(CC(=O)N1c2ccccc2NC(=O)c2ccccc21)[C@H]1CCCC[C@H]1N(C)C,7.309981219
Cc1c(NCc2c(F)cccc2F)nc(C2CC2)nc1NC1CC1,7.200659451
O=C(C[N+]12CCC(CC1)[C@@H](OC(=O)C1(C3=CC=CC3)CCCCCC1)C2)Nc1cccnc1,9.7000571
Nc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,7.102372909
O=C(O[C@H]1C[N+]2(Cc3nc(-c4ccccc4)no3)CCC1CC2)C1(C2=CC=CC2)CCCCCC1,9.799970733
CC(C)OC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CC[N+](C)(CCc3ccccc3)CC2)cc1,8.301029996
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,6.406326343
C[C@@](C(=O)O[C@H]1C[N+]2(CC(N)=O)CCC1CC2)(c1cccs1)N1CCCCC1,9.89997427
CC(C)=CCCN1CCC(NC(=O)[C@](O)(c2ccccc2)[C@H]2CCC(F)(F)C2)CC1,7.795880017000001
CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H]2CCN(Cc3ccc(O)cc3)C2)cc1,5.800000875
FC1CN(c2cc(N3CCCCCC3)nc(C3CC3)n2)C1,6.300162274
CCCCCCCOC(=O)C1CN(CC)CC=C1c1ccccc1,5.9603876179999995
C[N+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,8.675717545
CCN1CC=C(c2ccccc2)C(C(=O)OCc2ccccc2)C1,6.394048842
CC(C(=O)OC1CC[N+](C)(C)CC1)(c1ccc(Cl)cc1)N1CCCCC1,8.599980365
O=C(NC1CCN(Cc2ccoc2)CC1)C(O)(c1ccccc1)C1CCCC1,7.3010299960000005
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,6.037393927
C[N+](C)(C)C[C@@H]1COCCO1,4.569999968
CN(C)CCCN1c2ccccc2Sc2ccccc21,6.598599459
CCCCCCSc1nccnc1O[C@H]1CN2CCC1C2,8.318758763
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,8.455931956
CCN(CC)CCOC(=O)c1ccccc1Sc1ccc(Cl)cc1,6.962573502000001
CCCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccc(S(C)(=O)=O)cc43)CC2)CC1,5.499999679
NC(=O)C[N+]12CCC(CC1)[C@@H](OC(=O)C1(C3=CC=CC3)CCCCCC1)C2,9.7000571
Cc1ncoc1-c1nnc(SCCCN2CC3CCN(c4ccccc4)C3C2)n1C,5.899998417000001
Cc1c(NC2CC2)nc(C2CC2)nc1N1CCC(=O)CC1,5.4948500220000005
CC(C)=CCCN1CCC(NC(=O)[C@](O)(c2ccccc2)[C@H]2CC[C@@H](F)C2)CC1,7.958607315
CC(C1=C(CCN(C(C)C)C(C)C)Cc2ccccc21)c1ccccn1,5.042464862
COc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)c1,8.455931956
Cc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)n1,8.050609993
CCN1CCC(c2ccccc2)=C(C(=O)OC)C1,5.257758123
CCO/N=C1\CN2CCC1C2,5.050609993
C1CCCN(c2nc(C3CC3)nc3c2CCCCN3)CC1,8.0
Cc1ccc(C(O)(c2ccc(C)cc2)C23CC[N+](CCOCc4ccccc4)(CC2)CC3)cc1,4.920818754
Nc1cccc(CN2CCC(N3CC(c4ccccc4)(c4ccccc4)NC3=O)CC2)c1,8.102372909
NCC=C1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,8.920818753999999
CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC[C@@H](Oc2cccc(O)c2)C1,9.449160395
c1ccc(CCN[C@H]2C3C4CC5C6C4CC3C6C52)nc1,5.673869043
O=C(N[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C1c2ccccc2Oc2ccccc21,9.096910012999999
C=CC[N+]1(C)[C@H]2CC[C@@H]1C[C@H](CC(C#N)(c1ccccc1)c1ccccc1)C2,8.249530177
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.661842436000001
CC[N+](CC)(CCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Nc1ccc(C(=O)OC(C)C)cc1)Cc1ccc(Cl)cc1,6.65130581
C[C@H]1CN(Cc2cccc(-c3cc(CNC(=O)c4cccc(CN(C)CCCN(C)C)c4)ccc3F)c2)CCN1,9.7000571
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,8.576590272
O=C(O[C@H]1C[N+]2(Cc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,6.6989700039999995
O=C(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)Nc1cccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)c1,9.0
OC12C3C4CC5C6C4C1C6C(C53)N2CCc1ccccn1,6.679853714
C[N+]12CCC(CC1)[C@@H](OC(=O)N(Cc1cccs1)c1ccccc1)C2,7.730487056
CN(CCN1CCOCC1)CC(=O)c1c(-c2ccccc2)[nH]c2ccccc12,4.262464909
C[N+]1(C)CCC[C@H]1[C@H]1C[S+]([O-])C(c2ccccc2)(c2ccccc2)O1,6.885689322999999
O=C(C[N+]12CCC(CC1)[C@@H](OC(=O)C1(C3=CC=CC3)CCCCCC1)C2)Nc1ccc(Cl)nn1,9.7000571
Cc1cccc(C(=O)NCc2cccc(-c3cccc(CN4CCNCC4)c3)c2)c1,6.599997654
CC(C(=O)OC1CC[N+](C)(C)CC1)(c1ccccc1)C1CCCC1,10.50003813
O=C(N[C@H]1CN2CCC1CC2)C(c1cccs1)c1cccs1,6.958607315
CO[C@]1(C#CC(O)(c2cccs2)c2cccs2)CN2CCC1CC2,10.30103
Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,7.045757491
CCCCCCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1,8.318758763
CCCCCCCCCCOC(=O)C1=C(c2ccccc2)CCN(CC)C1,6.398483216
c1ccc2c(c1)C(=C1CN3CCC1CC3)c1ccccc1-2,7.0
Cc1ccc(CCNCC2(N(C)C)COc3ccccc3OC2)cc1,7.744727495
C[C@@H]1CO[C@H](C[N+](C)(C)C)CO1,4.180000032
CC(C1=C(CN(C)C(C)C)Cc2ccccc21)c1ccccn1,6.130000141
O=C(CCCCCNC(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1)NC[C@H]1CCCN(CC2CCCCC2)C1,9.0
O=C(Nc1ccc2c(c1)CNC2)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,6.537602002000001
Cc1cnc(NC(=O)C[N+]23CCC(CC2)[C@@H](OC(=O)C2(C4=CC=CC4)CCCCCC2)C3)cn1,9.100015437
CN1CCC(OC(=O)C(C)(c2ccccc2)N2CCCC2)CC1,8.299988938
O=C(NCc1cccc(-c2cccc(CN3CCNCC3)c2)c1)c1cccc(OC(F)(F)F)c1,6.299997603
CCN(CC)CCOC(=O)C(c1ccccc1)C1(O)CCCCC1,8.077274542
CCOC(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,6.197226275
O=C(CNC(=O)[C@@H]1CCCN1C(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1)NC[C@H]1CCCN(CC2CCCCC2)C1,8.657577319
CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccc(OC)cc43)CC2)CC1,5.800000875
CC(=O)Nc1cccc(C(=O)NCc2cccc(-c3cccc(CN4CCNCC4)c3)c2)c1,6.699991797000001
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.744245212999999
CN1CCC[C@H]1[C@H]1CS[C@](c2ccccc2)(C2CCCCC2)O1,8.770062314
CCOC(=O)c1ccc(NC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H]2CCN(Cc3ccc(O)cc3)C2)cc1,7.799970732999999
O=C(c1cccs1)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1,7.599980365
CN1CCC(Cn2cnc(C(O)(c3ccccc3)c3ccccc3)n2)CC1,9.468521082999999
C[N+]1(C)CCC(OC(=O)C2(c3ccccc3)CCCCCC2)CC1,9.599980365
CCC1CCN(c2nc(C3CC3)nc(NC3CC3)c2C)CC1,7.3010299960000005
CC(C1=C(CCN(C)C(C)C)Cc2ccccc21)c1ccccn1,5.740000205
O=C1CCc2ccccc2N1CCCN1CCC(CCCO)CC1,4.929999835
O=C(c1ccsc1)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,6.499996932
CN1CCC=C(c2nsnc2OCCCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,8.33003263
CN1CCC[C@H]1c1ccco1,4.279999967
O=C(CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1)N[C@H]1CC[C@H](CNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)CC1,9.500038134
