SMILES,P(Act)
COCCOCN1C(=O)CN[C@](c2ccccc2)([C@H](Oc2nc(C)cc(C)n2)C(=O)O)c2ccccc21,8.124938737
COC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Br,6.13076828
COc1cccc(-c2c(C(=O)O)n(-c3ccc4c(c3)OCO4)c3ccc(OC)cc23)c1,5.2596373110000005
Cc1cccc(S(=O)(=O)Nc2onc(C)c2C)c1,6.142667503999999
Cc1cc(C)c(/C=C/c2ccsc2S(=O)(=O)Nc2onc(C)c2Br)c(C)c1,7.27572413
Cc1noc(NS(=O)(=O)c2ccsc2C(=O)Cc2ccc3c(c2)OCO3)c1C,7.568636236000001
Cc1noc(NS(=O)(=O)c2cccc(OCCO)c2-c2ccc(CC(C)C)cc2)c1C,7.193820026
Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C)c1CC#N,9.853871964
Cc1ccc(Br)cc1S(=O)(=O)Nc1onc(C)c1C,6.075720714
COc1ccc([C@@H]2c3nc(NC(C)C)ccc3[C@H](c3ccc4c(c3)OCO4)[C@H]2C(=O)O)c(CC(C)C(=O)N(C)C)c1,10.7212464
Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3ccc(F)cc3)c3ccccc32)n1,8.229147988
Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3ccc(C(=O)O)cc3)c3ccccc32)n1,6.910094889
Cc1cc(C)c(CCc2ccsc2S(=O)(=O)Nc2onc(C)c2Br)c(C)c1,7.236572006
Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(CCC3CCCCC3)c3ccccc32)n1,6.835647144
COc1nc(C)cnc1NS(=O)(=O)c1cccc(C(=O)N(C)C)c1-c1ccc(CC(C)C)cc1,8.599980365
Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3ccc(F)cc3F)c3ccccc32)n1,8.22184875
Cc1noc(NS(=O)(=O)c2sccc2-c2ccc(CCC(C)C)cc2)c1Br,6.739928612000001
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C(=O)C(C)C)C2CC2)c1C,10.30103
CCC(CO)Cc1cc(OC)ccc1[C@@H]1c2nc(NC(C)C)ccc2[C@H](c2ccc3c(c2)OCO3)[C@H]1C(=O)O,10.55284197
COC(=O)C(Oc1c2ccccc2nc2ccccc12)c1ccc2c(c1)OCO2,5.468521083
CCCc1nc2c(C)cc(C(=O)NCCc3ccccc3)cc2n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2onc(C)c2C)cc1,6.019542108
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(C(C)(C)C)cc2)c1C,5.6989700039999995
COc1cccc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3c(Cl)cccc3Cl)c3ccccc32)c1,6.88941029
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)CC(F)(F)F)c1C,10.30103
CNC(=O)c1cccc(S(=O)(=O)Nc2ncc(C)nc2OC)c1-c1ccc(CC(C)C)cc1,9.299988938
CN(C)c1cccc2c(S(=O)(=O)Nc3ccc4nsnc4c3)cccc12,7.5000381339999995
CCCOc1ccc2c(c1)c(=O)c(Cc1cccc(C(=O)O)c1)c(C(=O)O)n2Cc1cc2c(cc1CC)OCO2,9.958607315
CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)cn3)cccc12,6.900008766
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(N2CCOCC2)nc1OCC#CCOC(=O)Nc1cnccn1,9.397940009
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(N(C)C(C)C)cc2)c1C,6.055517328
COc1ccc([C@H]2[C@H](C(=O)O)[C@@H](c3ccc4c(c3)OCO4)CN2CC(=O)Nc2c(C)cccc2C)cc1,7.48148606
Cc1cc(C(C(N)=O)c2ccc3c(c2)OCO3)c2ccccc2n1,4.602059991
CCNS(=O)(=O)Nc1nc(-c2ncccn2)nc(OCCOc2ncc(Br)cn2)c1Oc1ccccc1OC,8.004364805
Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C)c1,6.802065047
CC(C)c1ccc(S(=O)(=O)NC(=O)C(c2ccc3c(c2)OCO3)c2cn(C)c3cc(C#N)ccc23)cc1,7.214670165
Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3cccc(F)c3)c3ccccc32)n1,8.173925197
COc1ccc([C@@H]2c3nc(NC(C)C)ccc3[C@H](c3ccc4c(c3)OCO4)[C@H]2C(=O)O)c(OCC(C)C)c1,9.065501549
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C)cn2)nc(N2CCOCC2)nc1OCC#CCOC(=O)Nc1cnccn1,8.698970004
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCCNS(=O)(=O)c1cccs1,7.0655015489999995
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CNCC(F)(F)F)c1C,9.096910012999999
CNC(=O)c1cccc(S(=O)(=O)Nc2ncc(Br)nc2OC)c1-c1ccccc1,7.400007822
COCCNC(=O)c1cccc(S(=O)(=O)Nc2ncc(Br)nc2OC)c1-c1ccc(CC(C)C)cc1,8.799970733
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,4.161150909
COc1ccccc1Oc1c(NS(=O)(=O)CCc2ccccc2)nc(-c2ncccn2)nc1OCCOc1ncc(Br)cn1,8.657577319
C=C(C)c1cccc2c(S(=O)(=O)Nc3onc(C)c3C)cccc12,5.244125144
CCCCS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,8.958607315
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncccn3)cc2)c1C,7.960585881
CNC(=O)Nc1cc(CC(C)C)ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C,6.031517051
COc1ccc(S(=O)(=O)NC(=O)C(c2ccc3c(c2)OCO3)c2cn(C)c3cc(C(N)=O)ccc23)cc1,8.552841969
Cc1noc(NS(=O)(=O)c2cccc(Cl)c2C)c1C,6.004364805
C=CCCc1ccc2c(n1)[C@@H](c1ccc(OC)cc1)[C@H](C(=O)O)[C@H]2c1ccc2c(c1)OCO2,9.698970004
CCCc1nc2c(C)cc(C(=O)NCCc3ccccc3F)cc2n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2onc(C)c2C)cc1,6.581698708999999
Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1noc(C)c1Cl)OCO2,9.200659451
Cc1ccc(OC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C)c1,6.187086643
COc1ccc(C2(O)OC(=O)C(c3cc(OC)c4c(c3)OCO4)=C2Cc2ccccc2)cc1,8.173925197
COc1ccc([C@@H]2c3nc(NC(C)C)ccc3[C@H](c3ccc4c(c3)OCO4)[C@H]2C(=O)O)c(OC)c1,10.32790214
CCOc1nc(Br)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,6.299997603
Cn1cc(C(C(=O)NS(=O)(=O)c2ccc(CC(=O)O)cc2)c2ccc3c(c2)OCO3)c2ccc(C(N)=O)cc21,8.769551079
CCCc1nc(CC)c(C(=O)NC)n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2onc(C)c2C)c(C)c1,8.301029996
Cc1cnc(-c2ccc(-c3ccccc3S(=O)(=O)Nc3onc(C)c3C)cc2)o1,7.958607315
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CNC(=O)CC(C)(C)C)c1C,11.0
COc1ccc(C2(O)OC(=O)C(c3cc(OC)cc(OC)c3)=C2Cc2ccccc2)cc1,7.3372421679999995
Cc1noc(NS(=O)(=O)c2cccc(Cl)c2)c1C,5.823908741
COc1cccc(Sc2c(C(=O)O)n(Cc3cc(OC)c4c(c3)OCO4)c3cc(OC)c(OC)cc23)c1,7.236572006
COc1ccc([C@@H]2c3nc(NC(C)C)ccc3[C@H](c3ccc4c(c3)OCO4)[C@H]2C(=O)O)c(CC(O)CO)c1,10.53017798
Cc1ccc(/C=C/COC(c2ccccc2)(c2ccccc2)C(Oc2nc(C)cc(C)n2)C(=O)O)cc1,7.4948500220000005
CCc1cc(C(=O)O)cc(CC)c1NC(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,6.075720714
COC(=O)c1ccc2c(C(C(=O)NS(=O)(=O)c3ccc(C(C)C)cc3)c3ccc4c(c3)OCO4)cn(C)c2c1,7.0
C#CCOc1nc(-c2ccncc2)nc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1Oc1ccccc1OC,6.754487332
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ncnc1OCC#CCO,6.251037139
CCC1=C(c2ccc3c(c2)OCO3)C(=O)OC1(O)c1ccc(OC)cc1,6.4948500220000005
Cc1noc(NS(=O)(=O)c2ccccc2F)c1Br,6.795880017000001
CCCOc1ccc2c(c1)c(-c1ccc3c(c1)OCO3)c(C(=O)O)n2-c1ccc2c(c1)OCO2,7.366531544
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3nccn3C)cc2)c1C,6.149047599999999
CC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,10.69897
COc1cc(C#N)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(OC)c1,8.408935393
Cc1nc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)ccc1Br,5.0
COc1ccc(C2(OC(=O)N[C@@H](C)c3ccccc3)OC(=O)C(c3ccc4c(c3)OCO4)=C2Cc2ccccc2)cc1,7.744727495
O=C(O)c1c(-c2ccc3c(c2)OCO3)c2cc(Cl)ccc2n1-c1ccccc1,5.0
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN2CCN(C)C2=O)c1C,11.39794001
Cc1ccc(S(=O)(=O)Nc2onc(C)c2C)cc1,5.37675071
Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C(=O)C(C)(C)C)C(C)C)c1C,8.22184875
