SMILES,P(Act)
FC(F)(F)c1ccccc1CN(CC1CC1)C1CCNCC1,8.823908741
c1cc([C@@H]2CN3CCC[C@@H]3c3cc(OCCCN4CCCCC4)ccc32)ccn1,7.1804560639999995
O=S1(=O)N(CCC2CNCCO2)c2ccc(F)cc2N1c1ccccc1F,6.093664958
CN(C)Cc1ccccc1Sc1ccc(Cl)cc1N,9.568636236
Cc1cccc(N2CCN(CC(O)CNC(=O)c3nc(C(C)C)n(-c4ccccc4)c3C)CC2)c1C,7.823908741
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,5.084362766
CNCCC=C1c2ccccc2CCc2ccccc21,8.000499726000001
CCN(C)CC1CC1c1ccc2ccccc2c1,6.508638306
CCN(CC)C(=O)[C@@]1(c2ccccc2)CC1CNCC(O)COc1cccc2[nH]ccc12,6.920818754
COC(=O)C1=C(c2cccc(Cl)c2)CCC1,2.6497519819999997
COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C/c4ccccc4F)CC3)[C@@H]1CO2,7.886056647999999
COc1ccc2c(c1)C(c1ccccc1)CN(C)C2,5.8041003479999995
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,6.770830297000001
Fc1ccccc1Oc1cccc(F)c1C1CCNCC1,5.941194512999999
CC(C)CN(Cc1cccc(C(F)(F)F)c1)C1CCNCC1,9.585026652
Cc1cc([C@@]23CNCC[C@]2(c2ccc(Cl)c(Cl)c2)C3)no1,8.100015437
COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)c(C)c1)N2C,9.0
COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2ccc(C)cc2)CC1,6.6989700039999995
c1ccc(C(Cc2ccc3ccccc3c2)N2CCNCC2)cc1,7.769551079
N#Cc1ccc2[nH]cc(CCC3CCCN3)c2c1,7.769551079
CC1CN(c2ccc3ccccc3n2)CCN1CCCN1C(=O)c2ccccc2C1=O,7.096910013
O[C@@H](Cc1ccccc1)CN1CCN(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,6.638272164
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,6.53165267
Fc1ccccc1CN(c1ccc2[nH]ccc2c1)C1CCNCC1,8.400007822000001
Cc1ccc(Oc2ccc(Cl)c(Cl)c2)c(CN(C)C)c1,8.627087997
O=c1[nH]c2cccc(N3CCN(CCCC4CCc5c([nH]c6ccc(F)cc56)C4)CC3)c2o1,7.207608311
NC(=O)c1cc2cc(N3CCNCC3Cc3ccccc3)ccc2[nH]1,8.100015437
COc1ccc(C2CN(C)Cc3cc(OCCCN4CCC(F)(F)C4)ccc32)cc1,8.13667714
CCOC(=O)N(Cc1ccccc1Oc1ccccc1)[C@H]1CCNC1,6.35261703
c1ccc(OCc2ccccc2C2CCNCC2)cc1,6.438898616
Fc1ccc(C(OCCN2CCN(CCc3ccccc3)CC2)c2ccc(F)cc2)cc1,7.443697499
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.996108834
C=CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,6.823908741
Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5C)CC3)cccc2n1,9.400007822000001
CN(C)C[C@H]1C[C@@H]1c1c[nH]c2ccc(C#N)cc12,9.370881776000001
COC(=O)C1C(c2ccc(F)cc2)CC2CCC1N2CCCCCc1ccccc1,7.301899454
CNC[C@@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,7.26760624
COc1ccccc1N1CCN(CCNC(=O)Cn2nc(-n3ccnc3)ccc2=O)CC1,5.460422117
FC(F)(F)c1cc(COCC2(c3ccccc3)CCNCC2)nc(C2CC2)c1,7.886056647999999
CNCC1(c2ccc(Cl)cc2)CCCCC1,5.728158392999999
COc1ccccc1CCN1C2C3C4CC5C6C4C2C6C1(O)C53,6.261219442000001
O=C1CC(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2ccccc2)CCN1,6.0132282660000005
CCN(CCCc1c[nH]c2ccc(F)cc12)[C@@H]1COc2c(F)ccc(C(N)=O)c2C1,7.4282911679999994
CN(CCCc1c[nH]c2ccc(F)cc12)C1COc2ccc3c(c2C1)C(=O)NC3,8.045757491
OC1(c2ccc3ccccc3c2)c2ccc3ccccc3c2C2=NCCN21,7.958607315
Ic1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1,6.974694135
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CO)cc21,9.0
OC1(c2ccc(Cl)cc2)c2ccc3ccccc3c2C2=NCCN21,6.649751982000001
CCCc1nc(C(=O)NCC(O)CN2CCN(c3cccc(C)c3C)CC2)c(C)n1-c1ccc(F)cc1,8.200659451
c1ccc(C(c2ccccc2)c2ccncc2)cc1,5.935542011
CN[C@H]1CCc2ccccc2[C@H]1c1ccc(Cl)c(Cl)c1,5.548674192000001
CSc1ccc(Oc2ccc(S(N)(=O)=O)cc2CN(C)C)cc1C,8.301029996
CC1(C)NCC(c2ccc(Cl)cc2)c2ccc(-c3cnc(C(F)(F)F)cn3)cc21,7.21395879
CC#CNC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,7.0
Clc1cccc(Oc2ccccc2C2CCNCC2)c1,6.702239489
CNC[C@@H]1OCc2ccccc2[C@@H]1Oc1cc(F)ccc1C,5.397940009
c1ccc2c(c1)CCN(CCCCc1c[nH]c3ccccc13)C2,6.9469215570000005
COc1cccc2sc([C@@H]3CCN(C[C@H](O)COc4cccc5[nH]c(C)cc45)[C@@H](C)C3)cc12,9.065501549
O=S(=O)(N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1)C(F)(F)F,5.277366077
CNC[C@]1(O)Cc2ccccc2[C@@H]1Oc1c(C)cccc1F,6.823908741
Fc1cccc(OCc2ccccc2C2CCNCC2)c1,7.30980392
CNC1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,6.00656377
Cc1ncoc1C[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,8.500038134
COC(=O)C1=C(c2ccc3ccccc3c2)CC2CCC1C2,5.882728704
N#Cc1ccc2cc(OC[C@@H]3CCNC3)ccc2c1,7.37675071
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(SC)c(Br)c1)N2C,9.22184875
O=C(CCCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1nc2ccccc2s1,6.247951552000001
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,4.927878829
O=C1NCC(c2ccc(Cl)c(Cl)c2)C1c1ccc(Cl)cc1,7.067526235
CN1[C@H]2CC[C@@H]1[C@@H](C#Cc1ccc([N+](=O)[O-])cc1)[C@@H](c1ccc(Cl)cc1)C2,6.207608311
Cc1cccc(N2CCN(C[C@H](O)CNC(=O)c3nc(C)n(-c4ccccc4F)c3C)CC2)c1C,9.124938737
CN(C)CC1CC1c1csc2ccccc12,7.115393419
Fc1cccc(O[C@H](c2ccccc2)[C@H]2CNCCO2)c1F,7.920818754
COC(=O)[C@@H]1CCCC[C@@H]1c1ccc(OC(F)(F)F)cc1,3.218244625
CCCCN(C1CCNCC1)S(=O)(=O)c1ccc2ccccc2c1,7.853871964
Cc1csc(C[C@@H]2[C@H]3CNC[C@]32c2ccc(Cl)c(Cl)c2)n1,7.799970732999999
CN(C)C1CC=C(c2c[nH]c3ccc(F)cc23)CC1,7.853871964
CCN(CC)C(=O)[C@@]1(c2ccccn2)C[C@H]1CN,5.455931956000001
CN1C[C@@H]2CCCC[C@]2(c2ccc3ccccc3c2)C1,8.232695683
