"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"B.C1COCCN1",0,,
"BrC(Br)Br",0,,
"BrC(Br)C(Br)(Br)Br",0,22009.0,"Potency"
"BrC(Br)C(Br)Br",0,,
"BrCBr",0,,
"BrCC(Br)C1CCC(Br)C(Br)C1",1,702.15,"Potency, IC50"
"BrCC(Br)c1ccccc1",0,,
"BrCC1CO1",0,,
"BrCCBr",0,,
"BrCCCCCBr",0,,
"BrCCOc1ccccc1",0,,
"BrCCc1ccccc1",0,,
"BrCc1ccc(Br)cc1",0,,
"Brc1c(Br)c(Br)c(Br)c(Br)c1Br",1,2105.4,"Potency"
"Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br",0,,
"Brc1c2ccccc2c(Br)c2ccccc12",1,700.8,"Potency"
"Brc1c2ccccc2cc2ccccc12",0,24787.7,"Potency"
"Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br",0,26852.2,"Potency"
"Brc1cc(Br)cc(Br)c1",0,,
"Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br",0,,
"Brc1cc2ccccc2c2ccccc12",0,61566.0,"Potency"
"Brc1ccc(-c2ccccc2)cc1",0,31622.8,"Potency"
"Brc1ccc(Br)cc1",0,,
"Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1",1,6050.5,"Potency, Potency"
"Brc1ccc(Oc2ccc(Br)cc2)cc1",0,,
"Brc1ccc(Oc2ccccc2)cc1",0,66719.3,"Potency, Potency"
"Brc1cccc(-c2ccccc2)c1",0,31622.8,"Potency"
"Brc1ccccc1",0,27139.5,"Potency"
"Brc1ccccn1",0,,
"Brc1cn(-c2csc(N3CCOCC3)n2)cn1",1,2270.0,"IC50, IC50"
"C#CC(C)(O)CC",0,,
"C#CC(C)(O)CC(C)C",0,,
"C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1",0,48912.3,"Potency"
"C#CC(O)C(CC)CCCC",0,,
"C#CC(O)CCC",0,,
"C#CC(O)CCCCC",0,,
"C#CC1(O)CCCCC1",0,,
"C#CC1=C(C#C)C(=O)C(Cl)=C(Cl)C1=O",0,,
"C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1",1,4771.6,"Potency"
