"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"Brc1c(-c2ccccc2)nc2n1Cc1ccccc1-2",0,15000.0,"IC50"
"Brc1ccc(-c2cnc(-c3cccs3)o2)cc1",0,29500.0,"IC50"
"Brc1ccc(NN=Nc2ccccc2)cc1",0,27100.0,"IC50"
"Brc1ccc(Oc2ccccc2)cc1",0,,
"C#CC(O)C(CC)CCCC",0,,
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3ccccc3F)ccc21",0,44740.0,"IC50"
"C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCC[C@H]3COc3ccc(F)cc3F)ccc21",1,50.1,"EC50"
"C#CCN1C(=O)S/C(=C\c2ccc(-c3ccc(Cl)c(C(=O)O)c3)o2)C1=O",0,29600.0,"IC50"
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0,,
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0,,
"C#CC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)C(C)C)c1cc(Br)ccc1OC",1,179.0,"IC50, IC50"
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0,,
"C(=C/c1nc(-c2cccnc2)no1)\c1ccccc1",1,7715.0,"IC50, IC50"
"C(=N/NC1=Nc2cccc3cccc1c23)\c1ccccc1",0,30100.0,"IC50"
"C(=N/Nc1nc(-c2ccccc2)cs1)\c1cccs1",0,29800.0,"IC50"
"C/C(=N/OC(=O)c1ccccc1Br)c1ccc(C)cc1",0,31300.0,"IC50"
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0,,
"C/C(=N\Cc1ccco1)c1c(C)nn(-c2nc3ccccc3s2)c1O",1,3720.0,"IC50"
"C/C(=N\NC(=O)c1ccc(Br)cc1)c1ccccc1",1,4060.0,"IC50"
"C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1ccco1",0,18400.0,"IC50"
"C/C(=N\OC(=O)c1ccc(Br)cc1)c1ccccn1",1,1260.0,"IC50"
"C/C(=N\OC(=O)c1ccc(Cl)cc1)c1nccs1",0,15100.0,"IC50"
"C/C(=N\OC(=O)c1ccccc1F)c1nccs1",0,71100.0,"IC50"
