"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"Brc1ccc(CNCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1",1,5200.0,"Ki"
"Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12",1,47.0,"Ki"
"Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1",1,50.5,"Ki, Ki"
"Brc1ccc(Oc2ccccc2)cc1",0,,
"Brc1ccc2c(c1)C1CN(Cc3ccccc3)CC1CO2",1,275.655,"Ki, Ki"
"Brc1cccc(N2CCN(Cc3cnn4ccccc34)CC2)n1",1,180.0,"Ki, Ki"
"C#CC(C#C)=C1CCC(N(CCC)CCC)CC1",0,12000.0,"Ki"
"C#CC(O)C(CC)CCCC",0,,
"C#CC1=CCC(N(CCC)CCC)CC1",1,5690.911666666666,"Ki, Ki, Ki, Ki, Ki, Ki, Ki, Ki, Ki, Ki, Ki, Ki"
"C#CC1=CCC(N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1",1,41.5,"Ki, Ki"
"C#CC1=CCC(N(CCC)CCCCn2cc(-c3ccc(-c4ccccc4)cc3)nn2)CC1",1,390.0,"Ki, Ki"
"C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cc3ccccc3s2)CC1",1,13.333333333333332,"Ki, Ki, Ki"
"C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cc3ccccn3n2)CC1",1,116.63333333333333,"Ki, Ki, Ki"
"C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1",1,308.75,"EC50, Ki, EC50, EC50, EC50, EC50, Ki, Ki, Ki, Ki"
"C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1",1,7.0,"Ki, Ki, Ki"
"C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cnn3ccccc23)CC1",1,5.65,"Ki, Ki, Ki"
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C#CCN(CCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2ccc(O)cc2C1",1,7.37,"Ki"
"C#CCN(CCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1",1,245.0,"Ki"
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0,,
"C#CCN1CCC2(CC1)OC=C(c1ccccc1)C2=O",0,24000.0,"Ki"
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0,,
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0,,
"C#Cc1c[nH]c(CN2CCN(c3ccccc3)CC2)c1",1,675.0,"Ki, Ki"
"C#Cc1cc(C(=O)N[C@@H]2CCN(Cc3ccccc3)C2)c(OC)c2ccccc12",1,255.5,"Ki, Ki, Ki, Ki"
"C#Cc1cc(CN2CCN(c3ccccc3OC)CC2)c2cccccc1-2",1,85.5,"Ki, Ki"
"C#Cc1ccc(C(=O)NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1",1,17.0,"Ki, Ki"
"C#Cc1ccc(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1",1,21.0,"Ki, Ki"
"C#Cc1ccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1",1,58.5,"Ki, Ki"
"C#Cc1ccc2c(c1)CCN(CCCCN1CCN(c3ccccc3OC)CC1)C2=O",1,16.4,"Ki, Ki"
"C#Cc1ccc2cc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)sc2c1",1,199.53,"Ki"
"C#Cc1ccc2sc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)cc2c1",1,407.38,"Ki"
"C#Cc1cccc(C(=O)NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1",1,37.0,"Ki, Ki"
"C#Cc1cccc(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1",1,19.5,"Ki, Ki"
"C#Cc1cccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1",1,101.5,"Ki, Ki"
"C#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)c(C)nn12",0,23000.0,"Ki, Ki"
"C#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12",1,4538.45,"Ki, Ki, Ki"
"C#Cc1cccn1C1CCN(Cc2ccccc2)CC1",1,6450.0,"Ki, Ki"
"C(#Cc1c[nH]c(CN2CCN(c3ccccc3)CC2)c1)c1ccccc1",1,655.0,"Ki, Ki"
"C(#Cc1ccccc1)CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1",1,890.0,"IC50"
"C(#Cc1ccccc1)COC1CCN(CCc2ccccc2)CC1",1,1356.0,"Ki"
"C(#Cc1ccccc1)COCCC1CCN(CCc2ccccc2)CC1",1,131.0,"Ki"
"C(=C/c1cc(CCCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)on1)\c1ccccc1",1,491.0,"Ki"
"C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1",1,517.5,"IC50, Ki"
"C(=C/c1ccccc1)\COCC1CCN(CCCc2ccccc2)CC1",1,948.0,"Ki"
"C(=C/c1ccccc1)\COCC1CCN(CCc2ccccc2)CC1",1,241.0,"Ki"
"C(COCC1CCN(Cc2ccccc2)CC1)=C(c1ccccc1)c1ccccc1",1,620.0,"Ki"
"C/C(=C\CN1CCN(c2cc(C(F)(F)F)nc(C(C)(C)C)n2)CC1)CN1C(=O)CCc2ccccc21",1,669.0,"Ki"
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0,,
"C/C=C/C=C/C(=O)O",0,,
"C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1",1,437.7,"Ki"
"C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3coc4ccccc34)CC2)CC1",1,57.95,"Ki"
"C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1",1,945.4,"Ki"
"C/C=C/c1ccc(OC)cc1",0,,
"C/C=C1/c2ccccc2C=C(N2CCN(C)CC2)c2ccccc21",1,730.0,"Ki"
"C1=C(/C=C/c2ccccc2)CCN(CCc2c[nH]c3ncccc23)C1",1,280.0,"Ki"
"C1=C(c2c[nH]c3ccccc23)CCNC1",1,200.0,"Ki"
"C1=C(c2ccccc2)CCN(CC[C@H]2CC[C@H](Nc3ncccn3)CC2)C1",1,4.7,"Ki"
"C1=C(c2ccccc2)CCN(CCc2c[nH]c3ncccc23)C1",1,21.0,"Ki"
"C1=C(c2ccccc2)CCN(Cc2cn(-c3ccccc3)nn2)C1",1,165.0,"Ki, Ki"
"C1=C(c2nc3ccccc3[nH]2)CCN(Cc2ccccc2)C1",1,1400.0,"Ki"
"C1=C(c2nc3ccccc3o2)CCN(Cc2ccccc2)C1",1,240.0,"Ki"
"C1=CCCC=CCCC=CCC1",0,,
"C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42",1,5675.0,"Ki"
"C1CC2OC2CC1C1CO1",0,,
"C1CCC(SSC2CCCCC2)CC1",0,,
"C1CNCCN1",0,,
"C1N2CN3CN1CN(C2)C3",0,,
"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0,,
