"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"Brc1ccc(Oc2ccccc2)cc1",0,,
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0,,
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0,,
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0,,
"C/C=C/C=C/C(=O)O",0,,
"C/C=C/c1ccc(OC)cc1",0,,
"C/C=C\C(OC)[C@@H]1CC[C@@H](C)[C@](O)(C(=O)C(=O)N2CCCC[C@H]2C(=O)OCc2ccccc2)C1",1,112.0,"Ki"
"C1=CCCC=CCCC=CCC1",0,,
"C1CC2OC2CC1C1CO1",0,,
"C1N2CN3CN1CN(C2)C3",0,,
"C=C(C)C(N)=O",0,,
"C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]",0,,
"C=C(C)CNC(=O)N1CCCC[C@H]1C(=O)OCc1ccccc1",1,7200.0,"Ki"
"C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1",0,,
"C=CC(=C)CCC=C(C)C",0,,
"C=CC(C)(C)[C@@H](CCc1ccccc1)OC(=O)[C@@H]1CCCCN1C(=O)C(=O)C(C)(C)CC",1,250.0,"Ki"
"C=CC(N)=O",0,,
"C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O",0,,
"C=CCC1/C=C(\C)CCOC(=O)OC(=O)CCC(=O)C(=O)OC(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc2cccnc2)[C@H](C)CCC1=O",1,5500.0,"Kd"
"C=CCC1/C=C(\C)CCOC(=O)OC(=O)CCCC(=O)C(=O)OC(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc2cccnc2)[C@H](C)CCC1=O",1,2000.0,"Kd"
"C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C=CCCCCCCCCC(=O)O",0,,
"C=CCCC[C@H](OC(=O)[C@@H]1CCCCN1C(=O)C(=O)[C@@]1(O)CCCCO1)/C(C)=C/[C@@H]1CC[C@@H](O)[C@H](OC)C1",0,29000.0,"Kd"
"C=CCCC[C@H](OC(=O)[C@@H]1CCCCN1C(=O)C(=O)[C@@]1(O)CC[C@H](OC)[C@@H](COC)O1)/C(C)=C/[C@@H]1CC[C@@H](O)[C@H](OC)C1",0,40000.0,"Kd"
"C=CCCC[C@H](OC(=O)[C@@H]1CCCCN1C(=O)C(=O)[C@]1(O)OCCC[C@H]1C)/C(C)=C/[C@@H]1CC[C@@H](O)[C@H](OC)C1",1,200.0,"Kd"
"C=CCCC[C@H](OC(=O)[C@@H]1CCCCN1C(=O)C(=O)[C@]1(O)O[C@H](COC)[C@@H](OC)C[C@H]1C)/C(C)=C/[C@@H]1CC[C@@H](O)[C@H](OC)C1",1,10.0,"Kd"
"C=CCN(CC=C)C(=O)c1cccc([C@@H](CCc2ccccc2)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)CC)c1",1,5.0,"Ki"
"C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl",0,,
"C=CCOC(=O)c1ccccc1C(=O)OCC=C",0,,
"C=CC[C@@H](C(=O)N1CCCC[C@H]1C(=O)OC(CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)O)c1)c1cc(OC)c(OC)c(OC)c1",1,19.0,"IC50"
"C=CC[C@@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)O)c1)C1CCCCC1",1,1000.0,"Ki"
"C=CC[C@@H]1/C=C(\C)C[C@H](C)C(=O)OCC(C)(C)C(=O)C(=O)N2CCCC[C@H]2C(=O)OCCCOC1=O",1,130.0,"Ki"
"C=CC[C@@H]1/C=C(\C)C[C@H](C)C(=O)OCC(C)(C)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc2ccccc2)[C@H](C)COC1=O",1,6000.0,"Ki"
"C=CCc1ccc(O)c(OC)c1",0,,
"C=CN1CCCC1=O",0,,
"CC#Cc1cc(C)nc(Nc2ccccc2)n1",0,,
"CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O",0,,
"CC(=O)Nc1ccc(O)cc1",0,,
"CC(=O)OC1CC(C)OC(C)O1",0,,
"CC(=O)OCCC(C)C",0,,
"CC(=O)OCCOCCOCCOC(C)=O",0,,
"CC(=O)OC[C@H]1O[C@H](O[C@]2(COC(C)=O)O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O",0,,
"CC(=O)O[Hg]c1ccccc1",0,,
"CC(=O)S[C@H](C(=O)N[C@H]1Cc2ccccc2[C@H]2CCC[C@@H](C(=O)O)N2C1=O)C(C)C",0,,
