"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"BrCC(Br)C1CCC(Br)C(Br)C1",0,22387.2,"Potency"
"Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br",0,17782.8,"Potency"
"Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1",0,17782.8,"Potency"
"Brc1ccc(Oc2ccccc2)cc1",0,,
"Brc1ccc([C@H]2CN3CCSC3=N2)cc1",0,11220.2,"Potency"
"Brc1cccc(-c2ccccc2)c1",0,35481.3,"Potency"
"Brc1cccc2nc(C#Cc3ccccn3)ccc12",0,22700.0,"IC50"
"Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1",1,2300.0,"IC50"
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0,,
"C#CC(O)C(CC)CCCC",0,,
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C#CCN(C)CCCOc1ccc(Cl)cc1Cl",0,12589.3,"Potency"
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0,,
"C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12",0,31000.0,"IC50"
"C#CCOC(=O)C1=CCCN(C)C1",0,35481.3,"Potency"
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5CC4(C)[C@H]3CCC21C",1,1584.9,"Potency"
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0,,
"C#Cc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1",1,5000.0,"Activity"
"C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1",1,1700.0,"IC50"
"C(#Cc1ccc2ccccc2n1)c1ccccn1",0,20300.0,"IC50"
"C(=C\c1ccccc1)\c1ccccc1",0,22387.2,"Potency"
"C(=NC1CCCCC1)=NC1CCCCC1",0,70794.6,"Potency"
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0,,
"C/C(Nc1cccc(F)c1)=C(/C#N)C(N)=O",1,880.0,"EC50"
"C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](OC(=O)CCC)C[C@](C)(OC(C)=O)[C@H]2[C@@H]1OC(=O)CCCCCCC",0,22387.2,"Potency"
"C/C=C/C=C/C(=O)O",0,,
"C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C",0,17782.8,"Potency"
"C/C=C1/N(C)C(C)CC1(c1ccccc1)c1ccccc1",0,50118.72,"IC50"
"C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C",0,35481.3,"Potency"
"C/C=C1\C[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)C=C[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1O",1,8050.0,"Ki"
"C/N=c1/nc(-c2ccccc2)n(-c2ccccc2)s1",0,11220.2,"Potency"
"C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1",1,8500.0,"IC50"
"C1=C(c2ccc(OCCCN3CCCCC3)cc2)CCC1",1,230.0,"Ki"
"C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1",1,7200.0,"IC50"
"C1=CCC(c2cc3ccccc3o2)CNC1",0,19000.0,"IC50"
"C1=CCCC=CCCC=CCC1",0,,
"C1=Cc2cccc3cccc1c23",0,,
"C1CCC(/N=C(\NC23CC4CC(CC(C4)C2)C3)N2CCOCC2)CC1",0,11220.2,"Potency"
"C1CCC2(C1)C1CN(CC3CC3)CC2CN(CC2CC2)C1",1,2500.0,"IC50"
"C1CNCCN1",0,,
"C1N2CN3CN1CN(C2)C3",0,,
"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0,,
"C=C(C)C(=O)OCCCCCCCCCC",1,3548.1,"Potency"
"C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC",0,,
"C=C(C)C(N)=O",0,,
"C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]",0,,
"C=C(C)CN=C(S)NN=C1c2ccccc2-c2ccccc21",1,950.0,"EC50"
"C=C(Cl)CSC(=S)N(CC)CC",0,39810.7,"Potency"
"C=C(F)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN",1,3980.0,"IC50"
"C=C(N(C)Cc1ccc(-c2ccccc2)cc1)N1CCN(C(C)C)CC1",1,8181.82,"IC50"
"C=CC(=C)CCC=C(C)C",0,,
"C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)NCc4ccc(C(C)(C)C)cc4)c3)c3c(N)ncnc32)C1",1,1800.0,"IC50"
"C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)c(C)c4)c3)c3c(N)ncnc32)C1",1,300.0,"IC50"
"C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)cc4)c3)c3c(N)ncnc32)C1",1,1100.0,"IC50"
"C=CC(=O)NCNC(=O)C=C",0,,
"C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C",1,4300.0,"IC50"
"C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C",0,15600.0,"IC50"
"C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C",0,14800.0,"IC50"
"C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C",1,7400.0,"IC50"
"C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1",1,4000.0,"IC50"
"C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1",1,7100.0,"IC50"
"C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC[C@@H](N(C)C)C1",1,5600.0,"IC50"
"C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C",0,17500.0,"IC50"
"C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1",1,9100.0,"IC50"
"C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3[nH]ccc23)c1",1,1000.0,"IC50"
"C=CC(N)=O",0,,
"C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O",0,,
"C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O",0,,
"C=CCCCCCCCCC(=O)O",0,,
"C=CCN(CC=C)C(=S)NC(=O)/C=C/c1ccc(OC)cc1",1,3010.0,"EC50"
"C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2/C(=N/NC(=O)c2ccccc2)CC[C@@]3(O)[C@H]1C5",1,3162.3,"Potency"
"C=CCN1CCc2c(cc(O)c(O)c2Br)[C@@H](c2ccccc2)C1",1,7079.5,"Potency"
"C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1",1,7943.3,"Potency"
