"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"BrC(/C=N/N1CCN(Cc2ccccc2)CC1)=C/c1ccccc1",0,22387.2,"Potency"
"BrC1C(Br)C(Br)C(Br)C(Br)C1Br",0,39810.7,"Potency"
"BrCC(Br)C1CCC(Br)C(Br)C1",0,19952.6,"Potency"
"Brc1c(-c2ccccc2)nc2n1Cc1ccccc1-2",0,31622.8,"Potency"
"Brc1c(NC2=NCCN2)ccc2nccnc12",0,39810.7,"Potency"
"Brc1c(OCCOCCn2cncn2)ccc2ccccc12",0,31622.8,"Potency"
"Brc1c[nH]c2nccnc12",0,97000.0,"Kd"
"Brc1ccc(-c2ccccc2)cc1",1,7943.3,"Potency"
"Brc1ccc(-c2csc(N/N=C/c3cccnc3)n2)cc1",0,39810.7,"Potency"
"Brc1ccc(-c2csc(N/N=C/c3ccco3)n2)cc1",0,28183.8,"Potency"
"Brc1ccc(-c2csc(N3CCOCC3)n2)cc1",0,31622.8,"Potency"
"Brc1ccc(-c2ncc3ccccn23)cc1",0,19952.6,"Potency"
"Brc1ccc(-c2noc(CCc3ccccc3)n2)o1",0,31622.8,"Potency"
"Brc1ccc(-c2noc(COc3ccc4c(c3)CCC4)n2)o1",0,31622.8,"Potency"
"Brc1ccc(C2Nc3cccc4cccc(c34)N2)o1",0,39810.7,"Potency"
"Brc1ccc(N/N=C(/N=Nc2nn[nH]n2)c2ccccc2)cc1",0,22387.2,"Potency"
"Brc1ccc(N=Nc2ccc3ccccc3n2)cc1",1,8912.5,"Potency"
"Brc1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1",0,28370.85,"Potency, Potency"
"Brc1ccc(OCCn2ccnc2)cc1",0,15848.9,"Potency"
"Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1",0,39810.7,"Potency"
"Brc1ccc(Oc2ccccc2)cc1",0,,
"Brc1ccc(Oc2nsnc2N2CCOCC2)cc1",1,10000.0,"Potency"
"Brc1ccc2[nH]c3c(NCc4ccccn4)ncnc3c2c1",0,39810.7,"Potency"
"Brc1ccc2c(c1)C=Nc1c(ncnc1N1CCCCC1)O2",0,19952.6,"Potency"
"Brc1ccc2c(c1)c1nc3ccccc3nc1n2CCN1CCOCC1",0,31622.8,"Potency"
"Brc1ccc2ncnc(NCc3ccco3)c2c1",0,39810.7,"Potency"
"Brc1ccccc1-c1nc(-c2ccccc2)no1",0,31622.8,"Potency"
"Brc1ccccc1-c1nnc(COc2ncnc3c2cnn3-c2ccccc2)o1",0,31622.8,"Potency"
"Brc1ccccc1-c1nnc2sc(Cc3ccccc3)nn12",1,6309.6,"Potency"
"Brc1ccccc1-n1nnc(-c2ccnc3ccccc23)n1",0,22387.2,"Potency"
"Brc1ccccc1OCCOCCOc1cccc2cccnc12",0,17782.8,"Potency"
"Brc1cnc(N2CCCC2)nc1N1CCOCC1",1,631.0,"Potency"
"Brc1cnc2[nH]cc(I)c2n1",0,125000.0,"Kd"
"Brc1csc(/C=N/Nc2nc3ccccc3s2)c1",0,15848.9,"Potency"
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0,,
"C#CC(O)C(CC)CCCC",0,,
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O",1,5011.9,"Potency"
"C#CCN(C)CC/C=C1\c2ccccc2CSc2ccccc21",0,35481.3,"Potency"
"C#CCN(C)CCCOc1ccc(Cl)cc1Cl",0,19908.5,"Potency, Potency"
"C#CCN(C)[C@H](C)Cc1ccccc1",1,10000.0,"Potency"
"C#CCN(Cc1ccco1)C(=O)c1cc(COc2ccc(F)cc2Cl)on1",0,28183.8,"Potency"
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0,,
"C#CCn1cc(/C=N/Nc2nc3ccccc3[nH]2)c2ccccc21",0,25118.9,"Potency"
"C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@H]4[C@H]3CC[C@]21C",0,10610.1,"Potency, Potency"
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0,,
"C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@]21C",0,31622.8,"Potency"
"C#Cc1ccc(C(=O)Nc2ccc(N3CCC(C)CC3)c(C(N)=O)c2)cc1",1,2238.7,"Potency"
"C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1",0,28796.75,"Potency, Potency"
"C(=C/c1ccco1)\C1=NN(c2ccccc2)C(c2ccco2)C1",0,15848.9,"Potency"
"C(=C/c1nccc2c1[nH]c1ccccc12)\c1ccccc1",0,25118.9,"Potency"
"C(=C/c1nnc2c3ccccc3ncn12)\c1ccccc1",0,39810.7,"Potency"
"C(=C\c1ccccc1)\CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1",0,39810.7,"Potency"
"C(=N/C(/N=C/c1ccco1)c1ccco1)\c1ccco1",0,31622.8,"Potency"
"C(=N/N(Cc1ccccc1)c1ccccc1)\c1ccco1",0,31622.8,"Potency"
"C(=N/N1CCN(C(c2ccccc2)c2ccccc2)CC1)\c1ccc2c(c1)OCO2",0,22387.2,"Potency"
"C(=N/N1CCN(Cc2cccc3ccccc23)CC1)\c1cccs1",0,31622.8,"Potency"
"C(=N/N1CCN(Cc2ccccc2)CC1)\c1ccc(-c2ccccc2)cc1",1,1995.3,"Potency"
"C(=N/N1CCN(c2ccccn2)CC1)\C1=C(N2CCOCC2)/C(=C/c2ccccc2)CC1",0,39810.7,"Potency"
"C(=N/NC1=NCCCCC1)\c1c[nH]c2ccccc12",1,631.0,"Potency"
"C(=N/Nc1ccc2ccccc2n1)\c1ccc2c(c1)OCCO2",0,35481.3,"Potency"
"C(=N/Nc1ccccn1)\c1ccc(N2CCOCC2)cc1",0,15848.9,"Potency"
"C(=N/Nc1nc(-c2ccccc2)cs1)\c1ccco1",0,25118.9,"Potency"
"C(=N/Nc1nc2ccccc2[nH]1)\c1ccc2c(c1)OCO2",0,19952.6,"Potency"
"C(=N/Nc1nncc2ccccc12)\c1ccccc1",0,39810.7,"Potency"
"C(=N/c1c(-c2ccccc2)nc2n1CCS2)\c1ccccc1",0,19952.6,"Potency"
"C(=N/c1ccc(Nc2ccccc2)cc1)\c1ccc2ccccc2c1",0,28183.8,"Potency"
"C(=N/n1cnnc1)\c1cccc(OCCOc2ccccc2)c1",0,12589.3,"Potency"
"C/C(=C/CCC(C)C1CCC2(C)C3CCC4C(C)(C)C(=O)CCC4(C)C3=CCC12C)C(=O)O",0,39810.7,"Potency"
"C/C(=C/c1ccccc1)C(=O)N1CC(C)OC(C)C1",1,5011.9,"Potency"
