"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"B.C1COCCN1",0,,
"BrC(Br)C(Br)(Br)Br",1,,
"BrC(Br)C(Br)Br",0,,
"BrC/C=C/CBr",0,,
"BrCC(Br)(Br)Br",0,,
"BrCC(Br)C1CCC(Br)C(Br)C1",0,,
"BrCCBr",0,,
"BrCCCBr",0,,
"BrCCCCBr",0,,
"BrCCCCCBr",0,,
"BrCCCCCCBr",0,,
"BrCCOc1ccccc1",0,,
"BrCCc1ccccc1",0,,
"BrCc1ccc(Br)cc1",0,,
"BrCc1cccc(Oc2ccccc2)c1",1,,
"Br[Ca]Br",0,,
"Brc1c(Br)c(Br)c(Br)c(Br)c1Br",0,,
"Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br",0,,
"Brc1c(NC2=NCCN2)ccc2nccnc12",0,,
"Brc1c2ccccc2c(Br)c2ccccc12",1,,
"Brc1c2ccccc2cc2ccccc12",1,,
"Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br",0,22387.2,"Potency"
"Brc1cc(Br)cc(Br)c1",0,,
"Brc1cc2ccccc2c2ccccc12",0,,
"Brc1ccc(Br)c(Br)c1",0,,
"Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1",0,37438.86666666666,"Potency, Potency, Potency"
"Brc1ccc(Oc2ccc(Br)cc2)cc1",1,,
"Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1",0,35481.3,"Potency"
"Brc1cccc(-c2ccccc2)c1",0,,
"Brc1ccccc1",0,,
"Brc1ccccc1-c1ccccc1",0,,
"Brc1ccccn1",0,,
"Brc1nc2ccccc2s1",1,,
"C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O",0,,
"C#CC(C)(O)CC",0,,
"C#CC(C)(O)CC(C)C",0,,
"C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1",0,,
"C#CC(O)(C=CCl)CC",0,,
"C#CC(O)CCC",0,,
"C#CC(O)CCCCC",0,,
"C#CC1(O)CCCCC1",0,,
"C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",1,,
"C#CC1=C(C#C)C(=O)C(Cl)=C(Cl)C1=O",0,,
"C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1",0,,
"C#CCN(C)CCCOc1ccc(Cl)cc1Cl",0,,
"C#CCN(C)Cc1ccccc1",0,,
"C#CCN1CC(=O)N(COC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)C1=O",0,,
"C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C",1,,
"C#CCOC(=O)N1CCc2c(OCCc3nc(-c4ccccc4)oc3C)ccc(CCC(=O)O)c2C1",1,50.5,"EC50, IC50"
