"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"Brc1ccc(Oc2ccccc2)cc1",0,,
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0,,
"C#CC(O)C(CC)CCCC",0,,
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0,,
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0,,
"C/C(=C/C(C)=C/c1csc([C@H](Cc2ccc(OCc3ccccc3)cc2)NC(=O)CCCc2c[nH]c3ccccc23)n1)C(=O)OCC(=O)O",0,11060.0,"IC50"
"C/C(=C/C(C)=C/c1csc([C@H](Cc2ccc(OCc3ccccc3)cc2)NC(=O)CCc2c[nH]c3ccccc23)n1)C(=O)OCC(=O)O",1,8720.0,"IC50"
"C1=Cc2cccc3cccc1c23",0,,
"C1CC2OC2CC1C1CO1",0,,
"C1CCC(SSC2CCCCC2)CC1",0,,
"C1CNCCN1",0,,
"C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC",0,,
"C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1",0,,
"C=C1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C2[C@@H]4CC(C)(C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C",1,2530.0,"IC50"
"C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1/C=C/C(C)=O",1,9300.0,"IC50"
"C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)CC(=O)O",1,7400.0,"IC50"
"C=CC(=C)CCC=C(C)C",0,,
"C=CC(N)=O",0,,
"C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O",0,,
"C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O",0,,
"C=CCCCCCCCCC(=O)O",0,,
"C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl",0,,
"C=CCOC(=O)N[C@@H](Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)cc1)C(=O)NCCCCOc1cccc(O)c1C(=O)OC",1,470.0,"Ki"
"C=CCOC(=O)c1ccccc1C(=O)OCC=C",0,,
"C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl",0,,
"C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O",0,,
"C=CCc1ccc(O)c(OC)c1",0,,
"C=CCc1ccc(OC)c(OC)c1",0,,
"C=CN1CCCC1=O",0,,
"CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C",0,,
"CC#Cc1cc(C)nc(Nc2ccccc2)n1",0,,
"CC(=O)/C(C)=C/C1C(C)=CCCC1(C)C",0,,
"CC(=O)CC(C)(C)O",0,,
"CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1",0,,
