"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"Brc1ccc(Oc2ccccc2)cc1",0,,
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0,,
"C#CC(O)C(CC)CCCC",0,,
"C#CCCC(=O)Nc1nc2ccc(C(=O)c3ccccc3C(=O)Nc3ccc(F)cc3)cc2[nH]1",1,100.0,"IC50"
"C#CCCC(=O)Nc1nc2ccc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)cc2[nH]1",1,100.0,"IC50"
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0,,
"C#CCOC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)ccc2[nH]1",1,100.0,"IC50"
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0,,
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0,,
"C#Cc1c(F)ccc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1F",1,100.0,"IC50"
"C#Cc1cc(C)cc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1",1,100.0,"IC50"
"C#Cc1cc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)ccc1F",1,100.0,"IC50"
"C#Cc1ccc(C)c(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1",1,100.0,"IC50"
"C#Cc1cccc(N2C(=O)c3c(F)ccc(F)c3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1F",1,100.0,"IC50"
"C#Cc1cccc(N2C(=O)c3cccc(F)c3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1F",1,100.0,"IC50"
"C#Cc1cccc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1C",1,100.0,"IC50"
"C#Cc1cccc(N2C(=O)c3ccccc3C2(O)c2ccc3[nH]c(NC(=O)OC)nc3c2)c1F",1,100.0,"IC50"
"C#Cc1cccc(N2C(=O)c3ccccc3C2(O)c2ccc3c(c2)NC(=O)CO3)c1",1,100.0,"IC50"
"C#Cc1cccc(N2C(=O)c3ccccc3C2(O)c2ccc3nc(Nc4ncccn4)[nH]c3c2)c1F",1,100.0,"IC50"
"C#Cc1cccc(N2C(=O)c3ccccc3C2c2ccc3[nH]c(NC(=O)OC)nc3c2)c1F",1,100.0,"IC50"
"C#Cc1cccc(NC(=O)c2ccccc2C(=O)c2ccc3nc(NC(=O)OC)[nH]c3c2)c1F",1,100.0,"IC50"
"C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1",0,19952.6,"Potency"
"C#Cc1cnc2[nH]cc(C(=O)c3c(F)ccc(NS(=O)(=O)CCC)c3F)c2c1",1,10.0,"IC50"
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0,,
"C/C=C/c1ccc(OC)cc1",0,,
"C1=CCCC=CCCC=CCC1",0,,
"C1=Cc2cccc3cccc1c23",0,,
"C1CC2OC2CC1C1CO1",0,,
"C1CCC(SSC2CCCCC2)CC1",0,,
"C1N2CN3CN1CN(C2)C3",0,,
"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0,,
