"SMILES","Binary Activity","STANDARD_VALUE","STANDARD_TYPE"
"Brc1cc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)cc(-c2ccccc2)c1",1,2610.0,"IC50"
"Brc1ccc(N2CCN(CCN3CCC(Cc4ccccc4)CC3)CC2)cc1",1,4920.0,"IC50"
"Brc1ccc(Oc2ccccc2)cc1",0,,
"Brc1ccc2[nH]cc(CC3CCNCC3)c2c1",1,1000.0,"IC50"
"Brc1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1",1,136.0,"IC50"
"Brc1ccccc1CC(c1ccccc1)N1CCNCC1",1,15.0,"IC50"
"Brc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1",1,477.0,"Activity"
"Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1",1,10.0,"IC50"
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0,,
"C#CC(O)C(CC)CCCC",0,,
"C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",1,857.0,"IC50, Ki"
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0,,
"C#CCN(C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN)C1CC1",1,160.0,"IC50"
"C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN",1,145.0,"IC50"
"C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN",1,49.0,"IC50"
"C#CCN(CC#C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1,84.0,"IC50"
"C#CCN(CC(=C)F)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1,54.0,"IC50"
"C#CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1,125.0,"IC50"
"C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN",1,81.0,"IC50"
"C#CCN(CC1CC1)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1,210.0,"IC50"
"C#CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN",1,130.0,"IC50"
"C#CCN(CC=C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1,71.0,"IC50"
"C#CCN(CCOC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1,47.0,"IC50"
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0,,
"C#CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1",1,305.0,"Ki"
"C#CCNC(C)Cc1ccc(SC)cc1",0,31003.635000000002,"EC50, EC50"
"C#CCNC(CC)Cc1ccc(SC)cc1",0,88684.615,"EC50, EC50"
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0,,
