"SMILES","Binary Activity"
"B.C1COCCN1",0
"BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br",0
"BrCBr",0
"BrCC(Br)c1ccccc1",0
"BrCCBr",0
"BrCCCCBr",0
"Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br",0
"Brc1cc(Br)cc(Br)c1",0
"Brc1ccc(Br)cc1",0
"Brc1ccc(Oc2ccccc2)cc1",0
"Brc1cccc(Nc2nc3c(N4CCCC4)ncnc3s2)c1",1
"Brc1ccccn1",0
"Brc1nc2ccccc2s1",0
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0
"C#CC(O)C(CC)CCCC",0
"C#CC(O)CCC",0
"C#CC1(O)CCCCC1",0
"C#CC1=C(C#C)C(=O)C(Cl)=C(Cl)C1=O",0
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C#CCCCC#Cc1nc(NCc2cccc(Cl)c2)c2ncn([C@@H]3[C@H](O)[C@H](O)[C@]4(C(=O)NC)C[C@H]34)c2n1",1
"C#CCCCCC#Cc1nc(NCc2cccc(Cl)c2)c2ncn([C@H]3[C@H](O)[C@H](O)[C@]4(C(=O)NC)C[C@H]34)c2n1",1
"C#CCCCCC(=O)NCCNC(=O)COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1",1
"C#CCCCOc1cc(C)c2c(=O)c(-c3nc(C)cs3)coc2c1",1
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0
"C#CCN1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1",1
"C#CCO",0
"C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C",0
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0
"C#CCn1c(=O)c2[nH]c(Cc3c(F)cccc3F)nc2n(Cc2ccco2)c1=O",1
"C#CCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O",1
"C#CCn1c(=O)c2c(nc(/C=C/c3cccc(OC)c3)n2C)n(CCCO)c1=O",1
"C#CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3C2CCC2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3C2CCCCC2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3C2CCN(Cc3ccccc3)CC2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3CC2CCCCC2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3CC2CCCO2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)cc2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3CCc2cccs2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccc(OC)c2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2OC)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccs2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3c2ccc(F)cc2)n(C)c1=O",1
"C#CCn1c(=O)c2c(nc3n2CCCN3c2cccc(Br)c2)n(C)c1=O",1
"C#CCn1c(Br)nc2c(N)nc(C#CCCCCCC)nc21",1
"C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C",0
"C#Cc1nc(NOC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1",1
"C(=NC1CCCCC1)=NC1CCCCC1",0
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0
"C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O",0
"C/C=C/C=C/C(=O)O",0
"C/C=C/C=C/C(=O)[O-]",0
"C/C=C/c1ccc(OC)cc1",0
"C/C=C\C/C=C/CCCCCCCCOC(C)=O",0
"C1=CC2C3C=CC(C3)C2C1",0
"C1=CCCC1",0
"C1=CCCC=CCCC=CCC1",0
"C1=Cc2cccc3cccc1c23",0
"C1CC2OC2CC1C1CO1",0
"C1CCC(SSC2CCCCC2)CC1",0
"C1CCCCC1",0
"C1CCOC1",0
"C1CCSC1",0
"C1CNCCN1",0
"C1COCO1",0
"C1N2CN3CN1CN(C2)C3",0
"C=C(/C=C/C)C1=C(C)CCCC1(C)C",0
"C=C(C#N)C(=O)OCC",0
"C=C(C)C(=O)OCC(C)C",0
"C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C",0
"C=C(C)C(=O)OCC(CC)CCCC",0
"C=C(C)C(=O)OCC1CCCO1",0
"C=C(C)C(=O)OCC1CO1",0
"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"C=C(C)C(=O)OCCCCCC",0
"C=C(C)C(=O)OCCCCCCCCCCCC",0
