"SMILES","Binary Activity"
"Brc1c(NC2=NCCN2)ccc2c1NCCN2",1
"Brc1c(NC2=NCCN2)ccc2nccnc12",1
"Brc1c(NC2=NCCO2)ccc2nccnc12",0
"Brc1c(NC2=NCCS2)ccc2nccnc12",1
"Brc1c(NC2=N[C@@H]3CCCC[C@@H]3N2)ccc2nccnc12",0
"Brc1c(Nc2ncc[nH]2)ccc2nccnc12",1
"Brc1ccc(Oc2ccccc2)cc1",0
"Brc1ccccc1Nc1ncc[nH]1",1
"Brc1ccccc1OCC1=NCCN1",1
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0
"C#CC(O)C(CC)CCCC",0
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C#CCN(C)[C@H](C)Cc1ccccc1",1
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0
"C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1",1
"C(=C/c1ccccc1)\CN1CCN(CC2ON=C3c4ccccc4OCC32)CC1",1
"C(=C/c1ccccc1)\CN1CCN(C[C@@H]2ON=C3c4ccccc4NC[C@H]32)CC1",1
"C(=C/c1ccccc1)\CN1CCN(C[C@@H]2ON=C3c4ccccc4OC[C@H]32)CC1",1
"C(=C/c1ccccc1)\C[C@H]1C2CCC(C2)[C@H]1NC1=NCCO1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(O)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)C(C)(C)C)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)C5CC5)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)c5ccncc5)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC5CCCC5)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OCCN(C)C)cc4OC[C@H]32)CC1",1
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0
"C/C=C/C=C/C(=O)O",0
"C/C=C/c1ccc(OC)cc1",0
"C1=C(c2c[nH]cn2)c2ccsc2CC1",1
"C1=C(c2c[nH]cn2)c2sccc2CC1",1
"C1=CCCC=CCCC=CCC1",0
"C1=C[C@@H]2C(=NO[C@H]2CN2CCN(C/C=C/c3ccccc3)CC2)c2ccccc21",1
"C1=Cc2cccc3cccc1c23",0
"C1=NCC(CC2=Cc3ccccc3CC2)N1",1
"C1=NCC(CC2Cc3ccccc3C2)N1",1
"C1=NCC(Cc2cc3ccccc3o2)N1",1
"C1=NCC2(CCc3ccccc3C2)N1",1
"C1=NC[C@@H](C2C[C@@]23CCc2ccccc2C3)N1",1
"C1=NC[C@H](C[C@]23CCc4ccccc4C2C3)N1",1
"C1=NC[C@]2(CC[C@@H]3Cc4ccccc4C[C@H]3C2)N1",1
"C1CC2OC2CC1C1CO1",0
"C1CCC(SSC2CCCCC2)CC1",0
"C1CCCC(NC2=NCCO2)CC1",1
"C1CNCCN1",0
"C1COC(N2CCOCC2)=N1",0
"C1COC(NC(C2CC2)C2CC2)=N1",1
"C1N2CN3CN1CN(C2)C3",0
"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC",1
"C=C(C)C(N)=O",0
