"SMILES","Binary Activity"
"Brc1ccc(Oc2ccccc2)cc1",0
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0
"C#CC(O)C(CC)CCCC",0
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0
"C#CCNc1cccc([C@@H](O)CN[C@H](C)Cc2c[nH]c3c(OS(C)(=O)=O)cccc23)c1",1
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0
"C#CCn1/c(=N/C(=O)CSC(C)=O)sc2cc(F)ccc21",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0
"C(=C/c1ccco1)\C1=NN(c2ccccc2)C(c2ccco2)C1",0
"C(=N/N=C/c1cccnc1)\c1cccnc1",0
"C(=N/NC1=Nc2cccc3cccc1c23)\c1ccccn1",0
"C(=N/Nc1nc2ccccc2[nH]1)\C1CCCCC1",0
"C(=N/Nc1ncnc2ccccc12)\c1ccccc1",0
"C/C(=N/NC(=O)c1ccoc1C)c1ccc(NC(=O)C2CCCC2)cc1",0
"C/C(=N/NC(=S)Nc1cccc(C)c1)c1cccc([N+](=O)[O-])c1",1
"C/C(=N/NC(N)=S)c1ccc(Br)s1",0
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0
"C/C(=N\NC(=O)c1c[nH]c2ccccc12)c1ccc(C)s1",1
"C/C(=N\NC(=O)c1ccccc1[N+](=O)[O-])c1c(O)cc(C)oc1=O",1
"C/C(=N\NC(=O)c1ccco1)c1ccc(NC(=O)C(F)(F)F)cc1",0
"C/C(=N\NC(=S)NC(C)C)c1ccc(Cl)c([N+](=O)[O-])c1",0
"C/C(=N\NC(=S)NC(C)C)c1ccc(Cl)s1",1
"C/C(=N\NC(=S)NC(C)C)c1ccccc1",0
"C/C(=N\NC(=S)NC(C)C)c1ccccc1OC(F)F",0
"C/C(=N\NC(=S)NC(C)C)c1ccco1",0
"C/C(=N\NC(=S)NC1CCCCC1)c1ccc(C)o1",1
"C/C(=N\NC(=S)NC1CCCCC1)c1ccc(O)cc1",0
"C/C(=N\NC(=S)NC1CCCCC1)c1ccc(OC(F)F)cc1OC(F)F",0
"C/C(=N\NC(=S)NC1CCCCC1)c1cccs1",1
"C/C(=N\NC(=S)NCCc1ccccc1)c1ccc(Cl)cc1Cl",1
"C/C(=N\NC(=S)NCCc1ccccc1)c1cccc(Br)c1",0
"C/C(=N\NC(=S)NCCc1ccccc1)c1cccs1",1
"C/C(=N\NC(=S)NCc1ccccc1)C1CCCCC1",0
"C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Br)cc1",1
"C/C(=N\NC(=S)NCc1ccccc1)c1ccc(C)o1",0
"C/C(=N\NC(=S)NCc1ccccc1)c1ccc2ccccc2c1OC(F)F",1
"C/C(=N\NC(=S)NCc1ccccc1)c1ccccc1F",0
"C/C(=N\NC(=S)NCc1ccccc1)c1cccs1",1
"C/C(=N\NC(=S)Nc1ccccc1C)c1ccc(O)cc1",0
"C/C(=N\Nc1nc(C)cc(-c2ccccc2)n1)c1ccc(C)o1",0
