SMILES,Binary Activity
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,0
BrCBr,0
BrCCCCBr,0
Brc1ccc(-n2cc(-c3ccccc3)nn2)cc1,0
Brc1ccc(Br)cc1,0
Brc1ccc(Oc2ccccc2)cc1,0
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0
C#CC1(O)CCCCC1,0
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccc(OC(=O)N(C)C)c5ncccc45)CC3)ccc2n1C,1
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,1
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,1
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4C)CC3)ccc2n1C,1
C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)CCC1CCN(Cc2ccccc2)CC1,1
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)C1CCN(Cc2ccccc2)CC1,1
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CC1CCN(Cc2ccccc2)CC1,1
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1,0
C#CCN(Cc1ccc2cccc(O)c2n1)CC1CCN(Cc2ccccc2)CC1,1
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,0
C#CCN1CCC(CN(CCCOC)C(=O)c2ccc3ccccc3c2)CC1,1
C#CCN1CCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1,1
C#CCN1CCC(CN(CCOC)C(=O)c2ccc3ccccc3c2)CC1,1
C#CCN1CCC(CNC(=O)c2ccc3ccccc3c2)CC1,0
C#CCN1CCC(CNS(=O)(=O)c2ccc3ccccc3c2)CC1,1
C#CCN1CCCC(CN(CCCOC)C(=O)c2ccc3ccccc3c2)C1,1
C#CCN1CCCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)C1,1
C#CCN1CCCC(CN(CCOC)C(=O)c2ccc3ccccc3c2)C1,1
C#CCN1CCCC(CN(CCOC)S(=O)(=O)c2ccc3ccccc3c2)C1,1
C#CCN1CCc2nc3nc(N4CCCC4)c(C#N)cc3c(N)c2C1,0
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,0
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,0
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,0
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0
