SMILES,Binary Activity
Brc1ccc(Oc2ccccc2)cc1,0
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0
C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,0
C/C=C/c1ccc(OC)cc1,0
C1=C(N2CCOCC2)/C(=C/c2nc3ccccc3[nH]2)CC1,0
C1=C(c2ccc(-c3ccccc3)cc2)Nc2ncnn2C1c1ccco1,0
C1=CCCC=CCCC=CCC1,0
C1=Cc2cccc3cccc1c23,0
C1CC2OC2CC1C1CO1,0
C1CCC(SSC2CCCCC2)CC1,0
C1CNCCN1,0
C1N2CN3CN1CN(C2)C3,0
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC,0
C=C(C)COc1ccc(-c2nc(N)ncc2Oc2ccc(OC)cc2)c(O)c1,0
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0
C=C(CCC=C(C)C)[C@H]1C[C@@H](O)[C@](C)(O)[C@@H](O)C1=O,0
C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21,0
C=CC(=C)CCC=C(C)C,0
C=CC(N)=O,0
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,0
C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,0
C=CCC(C(=O)N[C@@H](CC(=O)O)C(=O)COc1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,1
C=CCCCCCCCCC(=O)O,0
C=CCCCCCCCCCCCC,0
C=CCN(CC=C)c1nc2ccccc2nc1C(C#N)C(=O)OCCOC,0
C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CCCS(=O)(=O)O)SC1=S.c1ccncc1,0
C=CCN1CCN(c2nc3ccccc3nc2C#N)CC1,0
C=CCNS(=O)(=O)c1cccc2cc(C(=O)O)c(O)cc12,0
C=CCNc1sc(C(=O)c2cccs2)c(N)c1C#N,0
C=CCO/C(O)=C1\C(C)=NC(SC)=C(C#N)C1c1ccc(OCC)cc1,0
C=CCO/C(O)=C1\C(C)=NC(SCC(=O)NC(=O)OCC)=C(C#N)C1c1cccnc1,1
C=CCOC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1,0
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,0
C=CCOC(=O)NC(CC(=O)O)C(=O)COc1cc(-c2ccccc2)ccc1C(N)=O,1
C=CCOC(=O)NC(CC(=O)O)C(=O)COc1cc2ccccc2cc1C#N,1
C=CCOC(=O)NC(CC(=O)O)C(=O)COc1cc2ccccc2cc1CO,1
C=CCOC(=O)NC(CC(=O)O)C(=O)COc1ccc2ccccc2c1,1
C=CCOC(=O)NC(CC(=O)O)C(=O)COc1cccc2ccccc12,1
C=CCOC(=O)NC(CC(=O)O)C(=O)COc1ccccc1,1
