"SMILES","Binary Activity"
"BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br",0
"Brc1cc(CO/N=C/C2CN3CCC2C3)on1",1
"Brc1cc(CO/N=C/C2CN3CCC2CC3)on1",1
"Brc1cc(CO/N=C2\CN3CCC2C3)on1",0
"Brc1cc(CO/N=C2\CN3CCC2CC3)on1",1
"Brc1ccc(Oc2ccccc2)cc1",0
"C#C/C(C)=C/CO/N=C1\CN2CCC1C2",1
"C#C/C(C)=C\CO/N=C1/CN2CCC1C2",1
"C#C/C(C)=C\CO/N=C1\CN2CCC1C2",1
"C#C/C=C/CO/N=C1\CN2CCC1C2",1
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0
"C#CC(C)O/N=C1\CN2CCC1C2",1
"C#CC(O)C(CC)CCCC",0
"C#CCC#CCC#CCO/N=C1\CN2CCC1C2",1
"C#CCC#CCO/N=C1\CN2CCC1C2",1
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",1
"C#CCCO/N=C1\CN2CCC1C2",0
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0
"C#CCN1CCN(CC(=O)C(O)(c2ccccc2)C2CCC2)CC1",1
"C#CCN1CCN(CC(=O)C(O)(c2ccccc2)C2CCCCC2)CC1",1
"C#CCO/N=C1\CN2CCC1C2",1
"C#CCOC(=O)C1=CCCN(C)C1",1
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0
"C#CCO[C@H]1CN2CCC1CC2",1
"C#CCOc1noc2c1CNCCC2",1
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0
