"SMILES","Binary Activity"
"Brc1ccc(CNCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1",1
"Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12",1
"Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1",1
"Brc1ccc(NCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1",1
"Brc1ccc(Oc2ccccc2)cc1",0
"Brc1ccc2c(c1)C1CN(Cc3ccccc3)CC1CO2",1
"Brc1cccc(N2CCN(Cc3cc4ccccn4n3)CC2)n1",1
"Brc1cccc(N2CCN(Cc3cnn4ccccc34)CC2)n1",1
"C#CC(C#C)=C1CCC(N(CCC)CCC)CC1",0
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0
"C#CC(O)C(CC)CCCC",0
"C#CC1=CCC(N(CCC)CCC)CC1",1
"C#CC1=CCC(N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1",1
"C#CC1=CCC(N(CCC)CCCCn2cc(-c3ccc(-c4ccccc4)cc3)nn2)CC1",1
"C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cc3ccccc3s2)CC1",1
"C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cc3ccccn3n2)CC1",1
"C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1",1
"C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cn(CCCC)nn3)c(OC)c2)CO1",1
"C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1",1
"C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2cnn3ccccc23)CC1",1
"C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cc3ccccc3s2)CC1",1
"C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cc3ccccn3n2)CC1",1
"C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1",1
"C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cn(CCCC)nn3)c(OC)c2)CO1",1
"C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1",1
"C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cnn3ccccc23)CC1",1
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C#CCN(CCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2ccc(O)cc2C1",1
"C#CCN(CCCCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1",1
"C#CCN(CCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1",1
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0
"C#CCN1CCC2(CC1)OC=C(c1ccccc1)C2=O",0
"C#CCN1CCC[C@@H](c2cccc(C#N)c2)C1",1
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0
"C#Cc1c[nH]c(CN2CCN(c3ccccc3)CC2)c1",1
"C#Cc1cc(C(=O)N[C@@H]2CCN(Cc3ccccc3)C2)c(OC)c2ccccc12",1
"C#Cc1cc(CN2CCN(c3ccccc3OC)CC2)c2cccccc1-2",1
"C#Cc1ccc(C(=O)NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1",1
"C#Cc1ccc(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1",1
"C#Cc1ccc(C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)cc1",1
"C#Cc1ccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1",1
"C#Cc1ccc2c(c1)CCN(CCCCN1CCN(c3ccccc3OC)CC1)C2=O",1
"C#Cc1ccc2cc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)sc2c1",1
"C#Cc1ccc2sc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)cc2c1",1
"C#Cc1cccc(C(=O)NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1",1
"C#Cc1cccc(C(=O)NCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1",1
"C#Cc1cccc(C(=O)NCCCCN2CCN(c3ccccc3OC)CC2)c1",1
"C#Cc1cccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1",1
"C#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)c(C)nn12",0
"C#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12",1
"C#Cc1cccn1C1CCN(Cc2ccccc2)CC1",1
"C(#Cc1c[nH]c(CN2CCN(c3ccccc3)CC2)c1)c1ccccc1",1
"C(#Cc1ccccc1)CN(c1ccccc1)C1CCN(Cc2ccccc2)CC1",1
"C(#Cc1ccccc1)COC1CCN(CCc2ccccc2)CC1",1
"C(#Cc1ccccc1)COCCC1CCN(CCc2ccccc2)CC1",1
"C(#Cc1cccn1C1CCN(Cc2ccccc2)CC1)c1ccccc1",1
"C(#Cc1cccnc1)CCN1CC=C(c2ccccc2)CC1",1
"C(#Cc1ccncc1)CCN1CC=C(c2ccccc2)CC1",1
"C(=C/c1cc(CCCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)on1)\c1ccccc1",1
"C(=C/c1cc(CCCCN2CCN(c3ccccc3)CC2)on1)\c1ccccc1",1
"C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1",1
"C(=C/c1ccccc1)\COCC1CCN(CCCc2ccccc2)CC1",1
"C(=C/c1ccccc1)\COCC1CCN(CCc2ccccc2)CC1",1
"C(COCC1CCN(Cc2ccccc2)CC1)=C(c1ccccc1)c1ccccc1",1
"C/C(=C\CN1CCN(c2cc(C(F)(F)F)nc(C(C)(C)C)n2)CC1)CN1C(=O)CCc2ccccc21",1
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0
"C/C=C/C=C/C(=O)O",0
"C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3CCO4)CC2)CC1",1
"C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3coc4ccccc34)CC2)CC1",1
"C/C=C/CC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nccc4c3CCO4)CC2)CC1",1
"C/C=C/c1ccc(OC)cc1",0
"C/C=C1/c2ccccc2C=C(N2CCN(C)CC2)c2ccccc21",1
"C1=C(/C=C/c2ccccc2)CCN(CCc2c[nH]c3ncccc23)C1",1
"C1=C(/C=C/c2ccccc2)CCN(CCc2cc3ccc[nH]c-3n2)C1",1
"C1=C(c2c[nH]c3ccccc23)CCNC1",1
"C1=C(c2ccccc2)CCN(CC[C@H]2CC[C@H](Nc3ncccn3)CC2)C1",1
"C1=C(c2ccccc2)CCN(CCc2c[nH]c3ncccc23)C1",1
"C1=C(c2ccccc2)CCN(C[C@@H]2CCC=C(c3ccccc3)C2)C1",1
"C1=C(c2ccccc2)CCN(Cc2cn(-c3ccccc3)nn2)C1",1
"C1=C(c2ccccc2)CCN(Cc2cnn(-c3ccccc3)c2)C1",1
"C1=C(c2nc3ccccc3[nH]2)CCN(Cc2ccccc2)C1",1
"C1=C(c2nc3ccccc3o2)CCN(Cc2ccccc2)C1",1
"C1=C(c2nc3ccccc3s2)CCN(Cc2ccccc2)C1",1
"C1=CCCC=CCCC=CCC1",0
"C1=Cc2cccc3cccc1c23",0
"C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42",1
"C1CC2OC2CC1C1CO1",0
"C1CCC(SSC2CCCCC2)CC1",0
