"SMILES","Binary Activity"
"BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br",0
"Brc1ccc(Oc2ccccc2)cc1",0
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0
"C#CC(O)C(CC)CCCC",0
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0
"C#CCOc1nc(-c2ccnc(-c3nn[nH]n3)c2)nc(NS(=O)(=O)c2ccc(C(C)C)cn2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(-c3nn[nH]n3)c2)nc(NS(=O)(=O)c2ccc(C)cn2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(-c3noc(O)n3)c2)nc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(-c3noc(O)n3)c2)nc(NS(=O)(=O)c2ccc(C(C)C)cn2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(-c3noc(O)n3)c2)nc(NS(=O)(=O)c2ccc(C)cn2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(-c3noc(S)n3)c2)nc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(-c3noc(S)n3)c2)nc(NS(=O)(=O)c2ccc(C(C)C)cn2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(-c3noc(S)n3)c2)nc(NS(=O)(=O)c2ccc(C)cn2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(CO)c2)nc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(CO)c2)nc(NS(=O)(=O)c2ccc(C(C)C)cn2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccnc(CO)c2)nc(NS(=O)(=O)c2ccc(C)cn2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccncc2)nc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccncc2)nc(NS(=O)(=O)c2ccc(C(C)C)cn2)c1Oc1ccccc1OC",1
"C#CCOc1nc(-c2ccncc2)nc(NS(=O)(=O)c2ccc(C)cn2)c1Oc1ccccc1OC",1
