"SMILES","Binary Activity"
"Brc1ccc(Oc2ccccc2)cc1",0
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0
"C#CC(O)C(CC)CCCC",0
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",0
"C(#Cc1c2c(nc3ccccc13)CCCCC2)CCN1CCCCC1",0
"C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1",1
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0
"C/C=C/C(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1",1
"C/C=C/C=C/C(=O)O",0
"C/C=C/c1ccc(OC)cc1",0
"C1=C(N2CCNCC2)c2nccn2Cc2ccccc21",1
"C1=CCCC=CCCC=CCC1",0
"C1=Cc2cccc3cccc1c23",0
"C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42",1
"C1CC2OC2CC1C1CO1",0
"C1CCC(SSC2CCCCC2)CC1",0
"C1CCN(c2nc(N3CCCC3)nc(N3CCNCC3)n2)C1",1
"C1CNCCN1",0
"C1N2CN3CN1CN(C2)C3",0
"C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",0
"C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC",1
"C=C(C)C(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1",1
"C=C(C)C(N)=O",0
"C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]",0
"C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1",0
"C=C(CN1CCN(C2=Cc3ccccc3Cn3ccnc32)CC1)C(=O)O",1
"C=CC(=C)CCC=C(C)C",0
"C=CC(=O)NCNC(=O)C=C",0
"C=CC(N)=O",0
"C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O",0
"C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O",0
"C=CCCCCCCCCC(=O)O",0
"C=CCCCCCCCCCCCC",0
"C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12",1
"C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12",1
"C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12",1
"C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12",1
"C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12",1
"C=CCN(CC=C)CCc1c[nH]c2ccccc12",1
"C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl",0
"C=CCOC(=O)c1ccccc1C(=O)OCC=C",0
"C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl",0
