SMILES,Binary Activity
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,1
BrCCBr,0
Brc1ccc(-c2nc3ccc(Nc4ccnc5ccccc45)cc3[nH]2)cc1,1
Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,1
Brc1ccc(Oc2ccccc2)cc1,0
Brc1ccc2c(c1)-c1[nH]ncc1C2,1
Brc1cccc(Nc2ncc(-c3ccccc3)s2)n1,1
Brc1cccc(Nc2ncnc3[nH]c(CCc4ccccc4)cc23)c1,0
Brc1cccc(Oc2ccc3c(/C=C/c4ccccc4)n[nH]c3c2)c1,1
Brc1cnc(Nc2ccccn2)s1,1
Brc1cnc2[nH]cc(-c3ccccc3)c2c1,1
Brc1nc2ccccc2s1,0
C#CC(C)OC1=CC(=O)C(Nc2ncnc3cc(OCCCN4CCCC4)c(OC)cc23)=CC1=O,1
C#CC(O)C(CC)CCCC,0
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0
C#CCN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1,1
C#CCN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cnn(CC4CCOCC4)c3)nc2c1,1
C#CCN(c1ccc2ncc(-c3cnn(C)c3)nc2c1)c1c(Cl)c(OC)cc(OC)c1Cl,1
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,0
C#CCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,1
C#CCO/N=C/c1c(N)ncnc1Oc1ccc2[nH]c(C)cc2c1F,1
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,1
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,0
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,1
C#CCOc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,1
C#CCS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(O[C@H](C)C(C)(C)O)n2)cc1,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0
C#Cc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,1
C#Cc1cccc(Nc2nc(C)nc3oc(C)cc23)c1,1
C#Cc1cccc(Nc2nc(N)nc3[nH]c(CCc4ccccn4)cc23)c1,0
C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,0
C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,1
C#Cc1cccc(Nc2nccc3c(Nc4ncccc4-c4cc(NC)ncn4)c(C)ccc23)c1,1
C#Cc1cccc(Nc2ncnc3[nH]c(CCc4ccccc4)cc23)c1,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,1
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0
C#Cc1cn(C2CCCC2)c2ncnc(N)c12,1
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCSC4)ccc2-3)cs1)COc1ccccc1,1
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cccn4)ccc2-3)cs1)COc1ccccc1,1
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1,1
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnn4)ccc2-3)cs1)COc1ccccc1,1
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1,1
C(#Cc1cc(-c2n[nH]c3c2Cc2ccccc2-3)cs1)COc1ccccc1,1
C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,0
C(=C/c1ccccc1)\C(=N\Nc1nncc2ccccc12)c1ccccc1,1
C(=C/c1n[nH]c2cc(Oc3ccccc3)ccc12)\c1ccccc1,1
C(=C/c1n[nH]c2cc(Sc3ccccc3)ccc12)\c1ccccc1,1
C(=NC1CCCCC1)=NC1CCCCC1,1
C/C(=C/c1coc2nc(N)nc(N)c12)c1cccc2ccccc12,1
C/C(=N\O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1cn(C)nc1CC4,1
C/C(=N\OC(C)(C)C)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1cn(C)nc1CC4,1
C/C(=N\OC(C)C)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1cn(C)nc1CC4,1
C/C(=N\OC(C)C)c1ccc2c(c1)c1c3c(c4c(c1n2C(C)C)CCc1nn(C)cc1-4)C(=O)NC3,1
C/C(=N\OCC(C)C)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1cn(C)nc1CC4,1
C/C(=N\OCC(C)C)c1ccc2c(c1)c1c3c(c4c(c1n2CC(C)C)CCc1nn(C)cc1-4)C(=O)NC3,1
C/C=C/C(=O)Nc1cccc(C(=O)c2ccc3c(/C=C/c4ccccn4)n[nH]c3c2)c1,1
C/C=C/C=C/C(=O)O,0
C/C=C/c1ccc(OC)cc1,0
C/C=C\C/C=C/CCCCCCCCOC(C)=O,0
C1=CC2C3C=CC(C3)C2C1,0
C1=CCCC=CCCC=CCC1,0
C1CC2OC2CC1C1CO1,0
C1CCC(SSC2CCCCC2)CC1,0
C1CNCCN1,0
C1N2CN3CN1CN(C2)C3,0
C=C(C)C(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(C)=O,1
C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C,0
C=C(C)C(=O)OCCCCCCCCCCCC,0
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,0
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,0
C=C(C)C1CC=C(C)CC1,0
