"SMILES","Binary Activity"
"Brc1cccc(Br)c1Nc1nc2ccccc2n2cncc12",1
"Brc1ccccc1Nc1nc2ccccc2n2cncc12",1
"Brc1ccccc1Oc1nc2ccccc2n2cncc12",1
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0
"C#Cc1cccc(Nc2nccc3c(Nc4ncccc4-c4cc(NC)ncn4)c(C)ccc23)c1",1
"C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1",1
"C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1",1
"C#Cc1cn(C2CCCC2)c2ncnc(N)c12",1
"C(=C/c1cccc(OCc2ccccc2)c1)\c1ccc(OCc2ccccc2)cc1",0
"C(=C/c1ccccn1)\c1ccccn1",0
"C(=C/c1ccccn1)\c1ccncc1",0
"C(=C/c1ccncc1)\c1ccncc1",0
"C(=N/Nc1ccccc1)\c1cccnc1",0
"C(=N/Nc1ccccn1)\c1cccnc1",0
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0
"C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]",0
"C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1",0
"C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1",1
"C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCCOC",1
"C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCCOC",1
"C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1",1
"C=CC(=O)c1ccc2ccccc2c1",1
"C=CC(O)c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C",1
"C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O",0
"C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O",0
"C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl",0
"C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl",0
"C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1",1
"C=Cc1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C",1
