SMILES,Binary Activity
C#CC(CC)(CC)Nc1nc(NC)nc(-n2cncn2)n1,1
C#CC(O)C(CC)CCCC,0
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,0
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0
C/C(=N/NC(N)=[NH2+])C1=CC(C)(C)CCC1,0
C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,0
C1=CCCC=CCCC=CCC1,0
C1=Cc2cccc3cccc1c23,0
C1CC2OC2CC1C1CO1,0
C1CCC(SSC2CCCCC2)CC1,0
C1CNCCN1,0
C1N2CN3CN1CN(C2)C3,0
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC,0
C=C(C)C(N)=O,0
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],0
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0
C=CC(=C)CCC=C(C)C,0
C=CC(=O)NCNC(=O)C=C,0
C=CC(N)=O,0
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,0
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0
C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,0
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,0
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,1
C=CCc1cc(S(=O)(=O)c2ccc(O)c(CC=C)c2)ccc1O,0
C=CCc1cc2cccnc2c(-c2cccc([N+](=O)[O-])c2)n1,1
C=CCc1ccc(O)c(OC)c1,0
C=CCc1ccc(OC)c(OC)c1,0
C=CCc1ccc2c(c1)OCO2,0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0
