SMILES,Binary Activity
B.C1COCCN1,0
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,0
BrCC(Br)c1ccccc1,0
BrCCCCBr,0
BrCc1cccc(Oc2ccccc2)c1,0
Br[Ca]Br,0
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,0
Brc1ccc(Br)c(Br)c1,0
Brc1ccc(Br)cc1,0
Brc1ccc(Oc2ccccc2)cc1,0
Brc1ccccn1,0
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0
C#CC(C)(O)CC(C)C,0
C#CC(O)C(CC)CCCC,0
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,1
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,0
C#CCO,0
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,0
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,0
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0
C(=CC=Nc1ccccc1)C=CNc1ccccc1,0
C(=NC1CCCCC1)=NC1CCCCC1,0
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F,1
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F,1
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F,1
C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(C(C)C)cc(-c2ccccc2)c1OCC(F)F,1
C/C(=C/c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,1
C/C(=C/c1ccc2c(c1)C(C)(C)CCS2)c1ccc(C(=O)O)cc1,1
C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCC(F)F)cccc2s1,1
C/C(=C\C(=O)O)c1cc2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3OCCCF)cccc2s1,1
C/C(=C\c1cc(C(=O)O)no1)c1ccc2c(c1)C(C)(C)CCC2(C)C,1
C/C(=C\c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc(O)c(C(C)(C)C)c1,1
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc(O)c(C2(C)CCCCC2)c1,1
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc(O)c(C23CC4CC(CC(C4)C2)C3)c1,1
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CS2,1
C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,0
C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,0
C/C=C(\C)C(=O)OCC/C=C\CC,0
C/C=C(\C)C(=O)OCCc1ccccc1,0
C/C=C(\C)C(=O)OCc1ccccc1,0
C/C=C/C=C/C(=O)O,0
C/C=C/C=C/C(=O)[O-],0
C/C=C/C=C/CCCCCCCO,0
C/C=C\C/C=C/CCCCCCCCOC(C)=O,0
C1=CC2C3C=CC(C3)C2C1,0
C1=CCCC1,0
C1=CCCC=CCCC=CCC1,0
C1=COCCC1,0
C1=Cc2cccc3cccc1c23,0
C1=Cc2ccccc2C1,0
C1CC2OC2CC1C1CO1,0
C1CCC(NC2CCCCC2)CC1,0
C1CCC(SSC2CCCCC2)CC1,0
C1CCCCC1,0
C1CCOC1,0
C1CCSC1,0
C1CN(SSN2CCOCC2)CCO1,0
C1CNCCN1,0
C1COCCN1,0
C1COCO1,0
C=C(/C=C/C)C1=C(C)CCCC1(C)C,0
C=C(C#N)C(=O)OCC,0
C=C(C)C(=O)NCCCN(C)C,0
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0
C=C(C)C(=O)OCC(CC)CCCC,0
C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1,0
C=C(C)C(=O)OCC1CCCO1,0
C=C(C)C(=O)OCC1CO1,0
C=C(C)C(=O)OCCC(C)OC(=O)C(=C)C,0
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
C=C(C)C(=O)OCCCCCC,0
C=C(C)C(=O)OCCN(C)C,0
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,0
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,0
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,0
C=C(C)C(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0
C=C(C)C(=O)[O-],0
C=C(C)C(N)=O,0
C=C(C)C1CC=C(C)C(=O)C1,0
C=C(C)C1CC=C(C)C(OC(C)=O)C1,0
C=C(C)C1CC=C(C)CC1,0
C=C(C)CCCC,0
C=C(C)CCC[C@H](C)CCO,0
C=C(C)CCO,0
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1
C=C(C)[C@@H]1CC=C(C)C(=O)C1,0
C=C(C)[C@@H]1CC=C(C)CC1,0
