"SMILES","Binary Activity"
"Brc1cc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)cc(-c2ccccc2)c1",1
"Brc1ccc(N2CCN(CCCN3CCC(Cc4ccccc4)CC3)CC2)cc1",1
"Brc1ccc(N2CCN(CCN3CCC(Cc4ccccc4)CC3)CC2)cc1",1
"Brc1ccc(Oc2ccccc2)cc1",0
"Brc1ccc2[nH]cc(CC3CCNCC3)c2c1",1
"Brc1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3)c1",1
"Brc1ccccc1CC(c1ccccc1)N1CCNCC1",1
"Brc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1",1
"Brc1ccccc1O[C@@H](c1ccccc1)[C@H]1CNCCO1",1
"Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1",1
"C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1",0
"C#CC(O)C(CC)CCCC",0
"C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",1
"C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O",0
"C#CCN(C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN)C1CC1",1
"C#CCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1
"C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN",1
"C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1
"C#CCN(CC#C)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN",1
"C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN",1
"C#CCN(CC#C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1
"C#CCN(CC(=C)F)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1
"C#CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1
"C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN",1
"C#CCN(CC1CC1)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN",1
"C#CCN(CC=C)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN",1
"C#CCN(CC=C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1
"C#CCN(CCOC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN",1
"C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21",0
"C#CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1",1
"C#CCNC(C)Cc1ccc(SC)cc1",0
"C#CCNC(CC)Cc1ccc(SC)cc1",0
"C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1",0
"C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1",0
"C#C[C@H]1[C@@H](c2ccc(C)cc2)C[C@@H]2CC[C@H]1N2C",1
"C#C[C@H]1[C@@H](c2ccc(Cl)cc2)C[C@@H]2CC[C@H]1N2C",1
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C",1
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C",0
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C",1
"C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C",1
"C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C",1
"C#Cc1ccc([C@@H]2C[C@H]3CC[C@@H](N3)[C@H]2C(=O)OC)cc1",1
"C#Cc1ccc2c(c1)N(CCCN(C)C)c1ccccc1CC2",1
"C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1",1
"C(=C/c1ccccc1)\CN1CCN(C[C@@H]2ON=C3c4ccccc4NC[C@H]32)CC1",1
"C(=C/c1ccccc1)\CN1CCN(C[C@@H]2ON=C3c4ccccc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(O)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)C(C)(C)C)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)C5CC5)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)c5ccncc5)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC5CCCC5)cc4OC[C@H]32)CC1",1
"C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OCCN(C)C)cc4OC[C@H]32)CC1",1
"C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1",0
"C/C=C/C1=C(c2ccc(Cl)c(Cl)c2)CCCC1",0
"C/C=C/C=C/C(=O)O",0
"C/C=C/c1cc(C(F)(F)F)cc(COCC2(c3ccc(F)cc3)CCN(C)CC2)n1",1
"C/C=C/c1ccc(OC)cc1",0
"C/C=C/c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1",1
"C/C=C\c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1",1
